column,code,orgId,pinyin,zwjc
szse,000001,gssz0000001,payh,平安银行
szse,000002,gssz0000002,wka,万科A
szse,000003,gssz0000003,ptjta,PT金田A
szse,000004,gssz0000004,stgh,*ST国华
szse,000005,gssz0000005,stxy,ST星源
szse,000006,gssz0000006,szya,深振业A
szse,000007,gssz0000007,qxh,全新好
szse,000008,gssz0000008,szgt,神州高铁
szse,000009,gssz0000009,zgba,中国宝安
hke,00001,gshk0000001,ch,长和
szse,000010,gssz0000010,mlst,美丽生态
szse,000011,gssz0000011,swya,深物业A
szse,000012,gssz0000012,nba,南玻A
szse,000013,gssz0000013,stsha,*ST石化A
szse,000014,gssz0000014,shgf,沙河股份
szse,000015,gssz0000015,ptzha,PT中浩A
szse,000016,gssz0000016,skja,深康佳A
szse,000017,gssz0000017,szha,深中华A
szse,000018,gssz0000018,scat,神城A退
szse,000019,gssz0000019,slkg,深粮控股
hke,00002,gshk0000002,zdkg,中电控股
szse,000020,gssz0000020,shfa,深华发A
szse,000021,gssz0000021,skj,深科技
szse,000022,gssz0000022,scwa,深赤湾A
szse,000023,gssz0000023,stst,*ST深天
szse,000024,gssz0000024,zsdc,招商地产
szse,000025,gssz0000025,tla,特力A
szse,000026,gssz0000026,fyd,飞亚达
szse,000027,gssz0000027,szny,深圳能源
szse,000028,gssz0000028,gyyz,国药一致
szse,000029,gssz0000029,ssfa,深深房A
hke,00003,gshk0000003,xgzhmq,香港中华煤气
szse,000030,gssz0000030,fagf,富奥股份
szse,000031,gssz0000031,dyc,大悦城
szse,000032,gssz0000032,ssda,深桑达A
szse,000033,gssz0000033,xdt,新都退
szse,000034,gssz0000034,szsm,神州数码
szse,000035,gssz0000035,zgty,中国天楹
szse,000036,gssz0000036,hlkg,华联控股
szse,000037,gssz0000037,snda,深南电A
szse,000038,gssz0000038,dtt,大通退
szse,000039,gssz0000039,zjjt,中集集团
hke,00004,gshk0000004,jlcjt,九龙仓集团
szse,000040,gssz0000040,stxl,*ST旭蓝
szse,000042,gssz0000042,zzkg,中洲控股
szse,000043,gssz0000043,zhsd,中航善达
szse,000045,gssz0000045,sfza,深纺织A
szse,000046,gssz0000046,stfh,*ST泛海
szse,000047,gssz0000047,stzq,ST中侨
szse,000048,gssz0000048,jjzn,京基智农
szse,000049,gssz0000049,dsdc,德赛电池
hke,00005,gshk0000005,hfkg,汇丰控股
szse,000050,gssz0000050,stma,深天马A
szse,000055,gssz0000055,fdjt,方大集团
szse,000056,gssz0000056,htgj,皇庭国际
szse,000058,gssz0000058,ssg,深赛格
szse,000059,gssz0000059,hjgf,华锦股份
hke,00006,gshk0000006,dnsy,电能实业
szse,000060,gssz0000060,zjln,中金岭南
szse,000061,gssz0000061,ncp,农产品
szse,000062,gssz0000062,szhq,深圳华强
szse,000063,gssz0000063,zxtx,中兴通讯
szse,000065,gssz0000065,bfgj,北方国际
szse,000066,gssz0000066,zgcc,中国长城
szse,000068,gssz0000068,hksg,华控赛格
szse,000069,gssz0000069,hqca,华侨城A
hke,00007,9900025274,zfzytz,智富资源投资
szse,000070,gssz0000070,tfxx,特发信息
szse,000078,gssz0000078,hwsw,海王生物
hke,00008,gshk0000008,dxyk,电讯盈科
szse,000088,gssz0000088,ytg,盐田港
szse,000089,gssz0000089,szjc,深圳机场
hke,00009,gshk0000009,jagj,金奥国际
szse,000090,gssz0000090,tjjt,天健集团
szse,000096,gssz0000096,gjny,广聚能源
szse,000099,gssz0000099,zxhz,中信海直
hke,00010,gshk0000010,hljt,恒隆集团
szse,000100,gssz0000100,tclkj,TCL科技
hke,00011,gshk0000011,hsyh,恒生银行
hke,00012,gshk0000012,hjdc,恒基地产
hke,00013,9900052481,hhyy,和黄医药
hke,00014,gshk0000014,xsxy,希慎兴业
szse,000150,gssz0000150,styk,*ST宜康
szse,000151,gssz0000151,zcgf,中成股份
szse,000153,gssz0000153,fyyy,丰原药业
szse,000155,gssz0000155,cndl,川能动力
szse,000156,gssz0000156,hscm,华数传媒
szse,000157,gssz0000157,zlzk,中联重科
szse,000158,gssz0000158,csbm,常山北明
szse,000159,gssz0000159,gjsy,国际实业
hke,00016,gshk0000016,xhjdc,新鸿基地产
szse,000166,qsgn0000301,swhy,申万宏源
hke,00017,gshk0000017,xsjfz,新世界发展
hke,00018,gshk0000018,dfqkjt,东方企控集团
hke,00019,gshk0000019,tggfgsa,太古股份公司A
hke,00020,9900054412,stw,商汤-W
hke,00021,gshk0000021,dzhkg,大中华控股
hke,00022,gshk0000022,mskg,茂盛控股
hke,00023,gshk0000023,dyyh,东亚银行
hke,00025,gshk0000025,ci,CHEVALIERINT'L
hke,00026,gshk0000026,zhqc,中华汽车
hke,00027,gshk0000027,yhyl,银河娱乐
hke,00028,gshk0000028,ta,天安
hke,00029,gshk0000029,dljt,达力集团
hke,00030,gshk0000030,ybgj,云白国际
szse,000301,gssz0000301,dfsh,东方盛虹
hke,00031,gshk0000031,htkg,航天控股
hke,00032,gshk0000032,gtkg,港通控股
hke,00033,gshk0000033,intlgenius,INTLGENIUS
szse,000333,9900005965,mdjt,美的集团
szse,000338,9900002961,wcdl,潍柴动力
hke,00034,gshk0000034,jljy,九龙建业
hke,00035,gshk0000035,ydfz,远东发展
hke,00036,gshk0000036,ydkggj,远东控股国际
hke,00037,gshk0000037,ydjdsy,远东酒店实业
hke,00038,gshk0000038,dytljgf,第一拖拉机股份
hke,00039,gshk0000039,zgbdh,中国北大荒
hke,00040,gshk0000040,jskjgy,金山科技工业
szse,000400,gssz0000400,xjdq,许继电气
szse,000401,gssz0000401,jyjd,金隅冀东
szse,000402,gssz0000402,jrj,金融街
szse,000403,gssz0000403,plsw,派林生物
szse,000404,gssz0000404,chhy,长虹华意
szse,000405,gssz0000405,stxg,ST鑫光
szse,000406,gssz0000406,dmts,大明退市
szse,000407,gssz0000407,slgf,胜利股份
szse,000408,gssz0000408,zgky,藏格矿业
szse,000409,gssz0000409,ydkj,云鼎科技
hke,00041,gshk0000041,yj,鹰君
szse,000410,gssz0000410,syjc,沈阳机床
szse,000411,gssz0000411,ytjt,英特集团
szse,000412,gssz0000412,stwh,ST五环
szse,000413,gssz0000413,stxd,ST旭电
szse,000415,gssz0000415,bhzl,渤海租赁
szse,000416,gssz0000416,stmk,*ST民控
szse,000417,gssz0000417,hbjt,合百集团
szse,000418,gssz0000418,xtea,小天鹅A
szse,000419,gssz0000419,tckg,通程控股
hke,00042,gssz0000585,dbdq,东北电气
szse,000420,gssz0000420,jlhx,吉林化纤
szse,000421,gssz0000421,njgy,南京公用
szse,000422,gssz0000422,hbyh,湖北宜化
szse,000423,gssz0000423,deej,东阿阿胶
szse,000425,gssz0000425,xgjx,徐工机械
szse,000426,gssz0000426,xyyx,兴业银锡
szse,000428,gssz0000428,htjd,华天酒店
szse,000429,gssz0000429,ygsa,粤高速A
szse,000430,gssz0000430,stzg,*ST张股
hke,00045,gshk0000045,djd,大酒店
hke,00046,gshk0000046,klxt,科联系统
hke,00048,9900015389,zgqcns,中国汽车内饰
szse,000488,gssz0000488,stcm,ST晨鸣
szse,000498,gssz0000498,sdlq,山东路桥
hke,00050,gshk0000050,xgxljt,香港小轮(集团)
szse,000501,gssz0000501,wsjt,武商集团
szse,000502,gssz0000502,ljt,绿景退
szse,000503,gssz0000503,gxjk,国新健康
szse,000504,gssz0000504,stsw,*ST生物
szse,000505,gssz0000505,jlkg,京粮控股
szse,000506,gssz0000506,zjhj,招金黄金
szse,000507,gssz0000507,zhg,珠海港
szse,000508,gssz0000508,qmy,琼民源
szse,000509,gssz0000509,hskg,华塑控股
hke,00051,gshk0000051,hgqy,海港企业
szse,000510,gssz0000510,xjl,新金路
szse,000511,gssz0000511,xtt,烯碳退
szse,000513,gssz0000513,lzjt,丽珠集团
szse,000514,gssz0000514,ykf,渝开发
szse,000515,gssz0000515,pyty,攀渝钛业
szse,000516,gssz0000516,gjyx,国际医学
szse,000517,gssz0000517,radc,荣安地产
szse,000518,gssz0000518,stsh,*ST四环
szse,000519,gssz0000519,zbhj,中兵红箭
hke,00052,gshk0000052,dkhjt,大快活集团
szse,000520,gssz0000520,fhhy,凤凰航运
szse,000521,gssz0000521,chml,长虹美菱
szse,000522,gssz0000522,bysa,白云山A
szse,000523,gssz0000523,hmgf,红棉股份
szse,000524,gssz0000524,lnkg,岭南控股
szse,000525,gssz0000525,hty,红太阳
szse,000526,gssz0000526,xdjy,学大教育
szse,000527,gssz0000527,mddq,美的电器
