内容,分类,页码,长度
"19,405,918,198 股为基数，向全体股东每10 股派发现金股利人民币7.19 元（含税），不送红股，不以",公司治理,2,57
2023年，平安银行实现净利润464.55亿元，同比增长2.1%，持续保持正增长。2023年末，平安银,财务数据,6,51
"行资产总额55,871.16亿元，较上年末增长5.0%；不良贷款率1.06%，总体保持稳定；资本充足率13.43%，",财务数据,6,58
较上年末增长39.1%。,财务数据,7,12
27.2%。,财务数据,7,6
务，落实减费让利，持续支持乡村振兴。2023年末，普惠型小微企业贷款累计户数超过100万户，累,其他,7,47
"计投入乡村振兴支持资金超1,000亿元。",财务数据,7,20
约占本行发行后总股本的29.99%。,财务数据,9,18
"的原平安银行7,825,181,106 股股份并向其募集269,005.23 万元人民币的重大",财务数据,9,47
中国平安及其控股子公司平安寿险合计持有本行52.38%的股份，成为本行的,财务数据,9,36
险合计持有本行59%的股份，为本行的控股股东。,财务数据,9,23
"14,308,676,139 股。中国平安及其控股子公司平安寿险合计持有本行58%的股",财务数据,9,43
2019 年1 月，本行公开发行260 亿元可转换公司债券，中国平安与平安,财务数据,9,37
"至19,405,918,198 股。中国平安及其控股子公司平安寿险合计持有本行58%的",财务数据,9,43
(8.4%),财务数据,15,6
27.90%,财务数据,15,6
27.45%,财务数据,15,6
0.85%,财务数据,15,5
0.89%,财务数据,15,5
11.38%,财务数据,15,6
12.36%,财务数据,15,6
2.38%,财务数据,15,5
2.75%,财务数据,15,5
28.36%,财务数据,15,6
27.66%,财务数据,15,6
1.06%,财务数据,15,5
1.05%,财务数据,15,5
277.63%,财务数据,15,7
290.28%,财务数据,15,7
13.43%,财务数据,15,6
13.01%,财务数据,15,6
10.3%,财务数据,15,5
10.3%,财务数据,15,5
(8.4%),财务数据,15,6
(9.1%),财务数据,15,6
(17.1%),财务数据,15,7
(31.3%),财务数据,16,7
(31.3%),财务数据,16,7
年3 月7 日非公开发行200 亿元非累积型优先股，于2019 年12 月和2020 年2 月分别发行了200 亿元、300,财务数据,16,62
及“每股收益”时，“归属于本行股东的净利润”扣除了已发放的优先股股息8.74 亿元和永续债利息19.75,财务数据,16,52
(3.4%),财务数据,17,6
16.7%,财务数据,17,5
11.5%,财务数据,17,5
12.1%,财务数据,17,5
(3.4%),财务数据,17,6
(86.8%),财务数据,18,7
29.4%,财务数据,18,5
(44.4%),财务数据,18,7
