【资产负债表】平安银行 2023年,,,,,,,,,,
合并资产负债表,,,,,,,,,,
资产,,,,,,,,,,
现金及存放中央银行款项,1,"274,663","285,277",,,,,,,
存放同业款项,2,"93,597","98,329",,,,,,,
贵金属,,"9,680","16,555",,,,,,,
拆出资金,3,"220,707","133,921",,,,,,,
衍生金融资产,4,"40,521","27,553",,,,,,,
买入返售金融资产,5,"110,830","41,561",,,,,,,
发放贷款和垫款,6,"3,320,110","3,242,258",,,,,,,
金融投资：,,,,,,,,,,
交易性金融资产,7,"450,293","446,133",,,,,,,
债权投资,8,"772,467","731,850",,,,,,,
其他债权投资,9,"161,931","172,233",,,,,,,
其他权益工具投资,10,"6,214","6,380",,,,,,,
投资性房地产,"12,335",,477,,,,,,,
固定资产,13,"9,814","11,083",,,,,,,
使用权资产,14,"5,776","6,530",,,,,,,
无形资产,15,"6,622","6,879",,,,,,,
商誉,16,"7,568","7,568",,,,,,,
递延所得税资产,17,"45,757","44,079",,,,,,,
其他资产,18,"50,231","42,848",,,,,,,
资产总计,,"5,587,116","5,321,514",,,,,,,
后附财务报表附注为本财务报表的组成部分。,,,,,,,,,,
,,,,,,,,,,
【资产负债表】平安银行 2023年,,,,,,,,,,
合并资产负债表(续),,,,,,,,,,
负债,,,,,,,,,,
向中央银行借款,20,"208,783","191,916",,,,,,,
同业及其他金融机构存放款项,21,"467,791","407,278",,,,,,,
拆入资金,22,"49,059","57,393",,,,,,,
交易性金融负债,23,"31,614","64,943",,,,,,,
衍生金融负债,4,"42,220","36,525",,,,,,,
卖出回购金融资产款,24,"58,152","13,303",,,,,,,
吸收存款,25,"3,458,287","3,352,266",,,,,,,
应付职工薪酬,26,"17,189","18,571",,,,,,,
应交税费,27,"9,380","14,674",,,,,,,
已发行债务证券,28,"728,328","692,075",,,,,,,
租赁负债,14,"6,210","6,922",,,,,,,
预计负债,29,"13,498","9,730",,,,,,,
其他负债,30,"24,277","21,238",,,,,,,
负债合计,,"5,114,788","4,886,834",,,,,,,
股东权益,,,,,,,,,,
股本,31,"19,406","19,406",,,,,,,
其他权益工具,32,"69,944","69,944",,,,,,,
其中：优先股,,"19,953","19,953",,,,,,,
永续债,,"49,991","49,991",,,,,,,
资本公积,33,"80,761","80,816",,,,,,,
其他综合收益,47,"2,264","2,660",,,,,,,
盈余公积,34,"10,781","10,781",,,,,,,
一般风险准备,35,"67,917","64,768",,,,,,,
未分配利润,36,"221,255","186,305",,,,,,,
股东权益合计,,"472,328","434,680",,,,,,,
负债及股东权益总计,,"5,587,116","5,321,514",,,,,,,
后附财务报表附注为本财务报表的组成部分。,,,,,,,,,,
财务报表由以下人士签署：,,,,,,,,,,
,副行长兼,会计机,构,,,,,,,
法定代表人 行长,首席财务官,负责人,,,,,,,,
,,,,,,,,,,
【资产负债表】平安银行 2023年,,,,,,,,,,
银行资产负债表,,,,,,,,,,
资产,,,,,,,,,,
现金及存放中央银行款项,1,"274,663","285,277",,,,,,,
存放同业款项,2,"93,330","97,619",,,,,,,
贵金属,,"9,680","16,555",,,,,,,
拆出资金,3,"220,707","133,921",,,,,,,
衍生金融资产,4,"40,521","27,553",,,,,,,
买入返售金融资产,5,"110,180","41,561",,,,,,,
发放贷款和垫款,6,"3,320,110","3,242,258",,,,,,,
金融投资：,,,,,,,,,,
交易性金融资产,7,"426,939","442,792",,,,,,,
债权投资,8,"771,836","731,753",,,,,,,
其他债权投资,9,"159,081","169,368",,,,,,,
其他权益工具投资,10,"6,214","6,380",,,,,,,
长期股权投资,11,"5,000","5,000",,,,,,,
投资性房地产,"12,335",,477,,,,,,,
固定资产,13,"9,786","11,054",,,,,,,
使用权资产,14,"5,776","6,526",,,,,,,
无形资产,15,"6,622","6,879",,,,,,,
商誉,16,"7,568","7,568",,,,,,,
递延所得税资产,17,"45,680","44,015",,,,,,,
其他资产,18,"50,039","42,582",,,,,,,
资产总计,,"5,564,067","5,319,138",,,,,,,
后附财务报表附注为本财务报表的组成部分。,,,,,,,,,,
,,,,,,,,,,
【资产负债表】平安银行 2023年,,,,,,,,,,
银行资产负债表(续),,,,,,,,,,
负债,,,,,,,,,,
向中央银行借款,20.0,"208,783","191,916",,,,,,,
同业及其他金融机构存放款项,21.0,"467,839","407,605",,,,,,,
拆入资金,22.0,"49,059","57,393",,,,,,,
交易性金融负债,23.0,"31,614","64,943",,,,,,,
衍生金融负债,4.0,"42,220","36,525",,,,,,,
卖出回购金融资产款,24.0,"40,051","13,303",,,,,,,
吸收存款,25.0,"3,458,287","3,352,270",,,,,,,
应付职工薪酬,26.0,"16,833","18,271",,,,,,,
应交税费,27.0,"8,985","14,107",,,,,,,
已发行债务证券,28.0,"728,328","692,075",,,,,,,
租赁负债,14.0,"6,210","6,922",,,,,,,
预计负债,29.0,"13,498","9,730",,,,,,,
其他负债,30.0,"25,579","23,057",,,,,,,
负债合计,,"5,097,286","4,888,117",,,,,,,
股东权益,,,,,,,,,,
股本,31.0,"19,406","19,406",,,,,,,
其他权益工具,32.0,"69,944","69,944",,,,,,,
其中：优先股,,"19,953","19,953",,,,,,,
永续债,,"49,991","49,991",,,,,,,
资本公积,33.0,"80,763","80,816",,,,,,,
其他综合收益,47.0,"2,263","2,664",,,,,,,
盈余公积,34.0,"10,781","10,781",,,,,,,
一般风险准备,35.0,"65,233","62,384",,,,,,,
未分配利润,36.0,"218,391","185,026",,,,,,,
股东权益合计,,"466,781","431,021",,,,,,,
负债及股东权益总计,,"5,564,067","5,319,138",,,,,,,
,,,,,,,,,,
【资产负债表】平安银行 2023年,,,,,,,,,,
3.2.2资产负债表项目分析,,,,,,,,,,
,余额,占比,余额,占比,,,,,,
发放贷款和垫款总额,"3,417,463",61.2%,"3,340,177",62.8%,2.3%,,,,,
其中：发放贷款和垫款本金总额,"3,407,509",61.0%,"3,329,161",62.6%,2.4%,,,,,
发放贷款和垫款应计利息,"9,954",0.2%,"11,016",0.2%,(9.6%),,,,,
以摊余成本计量的发放贷款和垫款减,"(97,353)",(1.7%),"(97,919)",(1.9%),(0.6%),,,,,
值准备,"(97,353)",(1.7%),"(97,919)",(1.9%),(0.6%),,,,,
发放贷款和垫款净值,"3,320,110",59.5%,"3,242,258",60.9%,2.4%,,,,,
投资类金融资产（注）,"1,431,426",25.6%,"1,384,149",26.1%,3.4%,,,,,
现金及存放中央银行款项,"274,663",4.9%,"285,277",5.5%,(3.7%),,,,,
存放同业款项,"93,597",1.7%,"98,329",1.8%,(4.8%),,,,,
贵金属,"9,680",0.2%,"16,555",0.3%,(41.5%),,,,,
拆出资金及买入返售金融资产,"331,537",5.9%,"175,482",3.3%,88.9%,,,,,
投资性房地产,335,0.0%,477,0.0%,(29.8%),,,,,
固定资产,"9,814",0.2%,"11,083",0.2%,(11.4%),,,,,
使用权资产,"5,776",0.1%,"6,530",0.1%,(11.5%),,,,,
无形资产,"6,622",0.1%,"6,879",0.1%,(3.7%),,,,,
商誉,"7,568",0.1%,"7,568",0.1%,-,,,,,
递延所得税资产,"45,757",0.8%,"44,079",0.8%,3.8%,,,,,
其他资产,"50,231",0.9%,"42,848",0.8%,17.2%,,,,,
资产总额,"5,587,116",100.0%,"5,321,514",100.0%,5.0%,,,,,
,,,,,,,,,,
【资产负债表】平安银行 2023年,,,,,,,,,,
3.2.2资产负债表项目分析,,,,,,,,,,
余额,占比,余额,占比,,,,,,,
"3,417,463",61.2%,"3,340,177",62.8%,,,,,,,
"3,407,509",61.0%,"3,329,161",62.6%,,,,,,,
"9,954",0.2%,"11,016",0.2%,,,,,,,
"(97,353)",(1.7%),"(97,919)",(1.9%),,,,,,,
"3,320,110",59.5%,"3,242,258",60.9%,,,,,,,
"1,431,426",25.6%,"1,384,149",26.1%,,,,,,,
"274,663",4.9%,"285,277",5.5%,,,,,,,
"93,597",1.7%,"98,329",1.8%,,,,,,,
"9,680",0.2%,"16,555",0.3%,,,,,,,
"331,537",5.9%,"175,482",3.3%,,,,,,,
335,0.0%,477,0.0%,,,,,,,
"9,814",0.2%,"11,083",0.2%,,,,,,,
"5,776",0.1%,"6,530",0.1%,,,,,,,
"6,622",0.1%,"6,879",0.1%,,,,,,,
"7,568",0.1%,"7,568",0.1%,,,,,,,
"45,757",0.8%,"44,079",0.8%,,,,,,,
"50,231",0.9%,"42,848",0.8%,,,,,,,
"5,587,116",100.0%,"5,321,514",100.0%,,,,,,,
,,,,,,,,,,
【收益表】平安银行 2023年,,,,,,,,,,
合并利润表,,,,,,,,,,
营业收入,,,,,,,,,,
利息收入,37,"227,617","228,878",,,,,,,
利息支出,37,"(109,626)","(98,748)",,,,,,,
利息净收入,37,"117,991","130,130",,,,,,,
手续费及佣金收入,38,"35,042","37,754",,,,,,,
手续费及佣金支出,38,"(5,612)","(7,546)",,,,,,,
手续费及佣金净收入,38,"29,430","30,208",,,,,,,
投资收益,39,"16,054","13,243",,,,,,,
其中：以摊余成本计量的金融资产终止确认产,,,,,,,,,,
生的收益,,"1,160",,,,,,,,
公允价值变动损益,"(40,354)",,"1,240",,,,,,,
汇兑损益,"41,662",,"4,548",,,,,,,
其他业务收入,"42,538",,131,,,,,,,
资产处置损益,,"144,180",,,,,,,,
其他收益,,"234,215",,,,,,,,
营业收入合计,,"164,699","179,895",,,,,,,
营业支出,,,,,,,,,,
税金及附加,43,"(1,718)","(1,727)",,,,,,,
业务及管理费,44,"(45,959)","(49,387)",,,,,,,
营业支出合计,,"(47,677)","(51,114)",,,,,,,
减值损失前营业利润,,"117,022","128,781",,,,,,,
信用减值损失,45,"(59,017)","(71,341)",,,,,,,
