source,data_type,date,year,stock_code,company_name,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,MA5,MA10,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,financial_indicator,financial_value,news_title,news_source,news_time,news_summary,news_link,news_time_range
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,常用指标,43020000.0,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,每股指标,1.605269,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,每股指标,0.007423,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,每股指标,0.66659,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,每股指标,2.27186,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,盈利能力,2.558186,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,成长能力,43020000.0,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,盈利能力,29.862557,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,常用指标,43020000.0,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,常用指标,2.368493,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,每股指标,0.002216,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,盈利能力,2.558186,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,每股指标,3.27186,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,盈利能力,29.863,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,成长能力,43020000.0,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,财务风险,11.67333,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,财务风险,11.67333,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,盈利能力,2.558186,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,财务风险,2.368493,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,常用指标,144060000.0,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,常用指标,3.27186,,,,,,
stock,financial,1989-12-31,1989,1,平安银行,,,,,,,,,,,,,,,,,,,,,,财务风险,27.648202,,,,,,
stock,financial,1990-12-31,1990,1,平安银行,,,,,,,,,,,,,,,,,,,,,,财务风险,1.927932,,,,,,
stock,financial,1990-12-31,1990,1,平安银行,,,,,,,,,,,,,,,,,,,,,,每股指标,1.626721,,,,,,
stock,financial,1990-12-31,1990,1,平安银行,,,,,,,,,,,,,,,,,,,,,,成长能力,70875000.0,,,,,,
stock,financial,1990-12-31,1990,1,平安银行,,,,,,,,,,,,,,,,,,,,,,常用指标,70875000.0,,,,,,
stock,financial,1990-12-31,1990,1,平安银行,,,,,,,,,,,,,,,,,,,,,,盈利能力,3.080952,,,,,,
stock,financial,1990-12-31,1990,1,平安银行,,,,,,,,,,,,,,,,,,,,,,每股指标,0.003652,,,,,,
stock,financial,1990-12-31,1990,1,平安银行,,,,,,,,,,,,,,,,,,,,,,财务风险,23.796033,,,,,,
stock,financial,1990-12-31,1990,1,平安银行,,,,,,,,,,,,,,,,,,,,,,每股指标,0.501776,,,,,,
