项目,附注四 2023年,12月31日 2022年,12月31日
银行资产负债表(续),,,
负债,,,
向中央银行借款,20,"208,783","191,916"
同业及其他金融机构存放款项,21,"467,839","407,605"
拆入资金,22,"49,059","57,393"
交易性金融负债,23,"31,614","64,943"
衍生金融负债,4,"42,220","36,525"
卖出回购金融资产款,24,"40,051","13,303"
吸收存款,25,"3,458,287","3,352,270"
应付职工薪酬,26,"16,833","18,271"
应交税费,27,"8,985","14,107"
已发行债务证券,28,"728,328","692,075"
租赁负债,14,"6,210","6,922"
预计负债,29,"13,498","9,730"
其他负债,30,"25,579","23,057"
负债合计,,"5,097,286","4,888,117"
股东权益,,,
股本,31,"19,406","19,406"
其他权益工具,32,"69,944","69,944"
其中：优先股,,"19,953","19,953"
永续债,,"49,991","49,991"
资本公积,33,"80,763","80,816"
其他综合收益,47,"2,263","2,664"
盈余公积,34,"10,781","10,781"
一般风险准备,35,"65,233","62,384"
未分配利润,36,"218,391","185,026"
股东权益合计,,"466,781","431,021"
负债及股东权益总计,,"5,564,067","5,319,138"
