项目,2023年12月31日,列3,2022年12月31日,列5,"本年末比上
年末增减"
3.2.2资产负债表项目分析,,,,,
,余额,占比,余额,占比,
发放贷款和垫款总额,"3,417,463",61.2%,"3,340,177",62.8%,2.3%
其中：发放贷款和垫款本金总额,"3,407,509",61.0%,"3,329,161",62.6%,2.4%
发放贷款和垫款应计利息,"9,954",0.2%,"11,016",0.2%,(9.6%)
以摊余成本计量的发放贷款和垫款减,"(97,353)",(1.7%),"(97,919)",(1.9%),(0.6%)
值准备,"(97,353)",(1.7%),"(97,919)",(1.9%),(0.6%)
发放贷款和垫款净值,"3,320,110",59.5%,"3,242,258",60.9%,2.4%
投资类金融资产（注）,"1,431,426",25.6%,"1,384,149",26.1%,3.4%
现金及存放中央银行款项,"274,663",4.9%,"285,277",5.5%,(3.7%)
存放同业款项,"93,597",1.7%,"98,329",1.8%,(4.8%)
贵金属,"9,680",0.2%,"16,555",0.3%,(41.5%)
拆出资金及买入返售金融资产,"331,537",5.9%,"175,482",3.3%,88.9%
投资性房地产,335,0.0%,477,0.0%,(29.8%)
固定资产,"9,814",0.2%,"11,083",0.2%,(11.4%)
使用权资产,"5,776",0.1%,"6,530",0.1%,(11.5%)
无形资产,"6,622",0.1%,"6,879",0.1%,(3.7%)
商誉,"7,568",0.1%,"7,568",0.1%,-
递延所得税资产,"45,757",0.8%,"44,079",0.8%,3.8%
其他资产,"50,231",0.9%,"42,848",0.8%,17.2%
资产总额,"5,587,116",100.0%,"5,321,514",100.0%,5.0%
