项目,附注四,2023年度,2022年度
合并现金流量表(续),,,
资料,,,
将净利润调节为经营活动的现金流量,,,
净利润,,"46,455","45,516"
调整：,,,
信用减值损失,45,"59,017","71,341"
其他资产减值损失,,"(7,735)",
已发生减值的金融资产产生的利息收入,,"(8,345)",
投资性房地产折旧,,"1,824",
固定资产折旧,44,"1,879","1,933"
使用权资产折旧,44,"2,491","2,650"
无形资产摊销,"44,789",,732
长期待摊费用摊销,,"746,711",
处置固定资产和其他长期资产的净损益,,"(7,101)",
金融工具公允价值变动损益,,"(4,051)","(4,482)"
外汇衍生金融工具公允价值变动损益,,"(6,678)","8,061"
投资利息收入及投资收益,,"(37,302)","(34,211)"
递延所得税资产的增加,46,"(1,536)","(4,648)"
租赁负债的利息费用,,"200,219",
已发行债务证券利息支出,37,"17,038","19,470"
经营性应收项目的增加,,"(177,434)","(463,015)"
经营性应付项目的增加,,"190,778","490,377"
预计诉讼损失的计提,,"6,475",
经营活动产生的现金流量净额,,"92,461","134,572"
现金及现金等价物净增加/(减少)情况,,,
现金的年末余额,49,"3,687","4,162"
减：现金的年初余额,,"(4,162)","(3,685)"
加：现金等价物的年末余额,49,"294,532","218,164"
减：现金等价物的年初余额,,"(218,164)","(221,537)"
现金及现金等价物净增加/(减少)额,,"75,893","(2,896)"
