项目,"年年度报
活动产生的
比率（元/股
稀释每股收
非经常性损
经营活动产","告
现金流量净额
）：
益
益后的基本/稀释每股收益
生的现金流量净额","92,461 134,572 (192,733) (31.3%)
2.25 2.20 1.73 2.3%
2.25 2.19 1.72 2.7%
4.76 6.93 (9.93) (31.3%)"
第二章会计数据和财务指标,,,
财务,比率（%）,：,0.83 0.86 0.74 -0.03个百分点
总资,产收益率,率,0.85 0.89 0.77 -0.04个百分点
平均,总资产收益,收益率,11.38 12.36 10.85 -0.98个百分点
加权,平均净资产,收益率（扣除非经常性损益）,11.38 12.33 10.82 -0.95个百分点
加权,平均净资产,收益率和每股收益相关指标根据《公开,发行证券的公司信息披露编报规则第9号——净资产收益率
注：,（1）净资产,收益的计算及披露》（2010年修订）及,《企业会计准则第34号——每股收益》计算。本行于2016
,和每股,月7日非公开发行200亿元非累积型优先,股，于2019年12月和2020年2月分别发行了200亿元、300
,年3,固定期限资本债券（“永续债”），均分,类为其他权益工具。在计算当期“加权平均净资产收益率”
,亿元无,,
,及“每,股收益”时，“归属于本行股东的净利润,”扣除了已发放的优先股股息8.74亿元和永续债利息19.75
,亿元。,中国人民银行办公厅印发的《黄金租借业,务管理暂行办法》规定，本行与金融机构间开展的黄金租借
,（2）根据,租出端由“贵金属”重分类至“拆出资金,”，租入端由“交易性金融负债”重分类至“拆入资金”，
,业务，,标均已同口径调整比较期数据。,
,相关指,,
,公司最近,三个会计年度扣除非经常性损益前,后净利润孰低者均为负值，且最近一年审计报告显
示公,司持续经,营能力存在不确定性的,
,□是 √,否,
,扣除非经,常损益前后的净利润孰低者为负值,
,□是 √,否,
,截至披露,前一交易日的公司总股本及用最新,股本计算的全面摊薄每股收益
至披,露前一交易,日的公司总股本（股）,"19,405,918,198"
付的,优先股股利,（元）,"874,000,000"
付的,永续债利息,（元）,"1,975,000,000"
最新,股本计算的,全面摊薄每股收益（元/股）,2.25
,境内外会,计准则下会计数据差异,
,1、同时,按照国际会计准则与按照中国会计准,则披露的财务报告中净利润和净资产差异情况
,□适用,√不适用,
