项目,列2,附注四,股本,其他权益工具,资本公积,其他综合收益,盈余公积,一般风险准备,未分配利润,股东权益合计
合并及银行股东权益变动表(续),,,,,,,,,,
一、,2023年1月1日余额,,"19,406","69,944","80,816","2,664","10,781","62,384","185,026","431,021"
二、,本年增减变动金额,,,,,,,,,
(一),净利润,,-,-,-,-,-,-,"44,570","44,570"
(二),其他综合收益,47,-,-,-,(377),-,-,-,(377)
,综合收益总额,,-,-,-,(377),-,-,"44,570","44,193"
(三),利润分配,,,,,,,,,
,1.提取盈余公积,34,-,-,-,-,-,-,-,-
,2.提取一般风险准备,35,-,-,-,-,-,"2,849","(2,849)",-
,3.普通股现金分红,36,-,-,-,-,-,-,"(5,531)","(5,531)"
,4.优先股股息,36,-,-,-,-,-,-,"(874,874)",
,5.永续债利息,36,-,-,-,-,-,-,"(1,975)","(1,975)"
(四),股东权益内部结转,,,,,,,,,
,1.其他综合收益结转留存收益,47,-,-,-,(24),-,-,24,-
(五),其他,,,,,,,,,
,1.长期服务计划,33,-,-,(53),-,-,-,-,(53)
三、,2023年12月31日余额,,"19,406","69,944","80,763","2,263","10,781","65,233","218,391","466,781"
