项目,列2,附注四,股本,其他权益工具,资本公积,其他综合收益,盈余公积,一般风险准备,未分配利润,股东权益合计
合并及银行股东权益变动表(续),,,,,,,,,,
一、,2022年1月1日余额,,"19,406","69,944","80,816","1,785","10,781","58,339","154,377","395,448"
二、,本年增减变动金额,,,,,,,,,
(一),净利润,,-,-,-,-,-,-,"45,516","45,516"
(二),其他综合收益,47,-,-,-,990,-,-,-,990
,综合收益总额,,-,-,-,990,-,-,"45,516","46,506"
(三),利润分配,,,,,,,,,
,1.提取盈余公积,34,-,-,-,-,-,-,-,-
,2.提取一般风险准备,35,-,-,-,-,-,"6,429","(6,429)",-
,3.普通股现金分红,36,-,-,-,-,-,-,"(4,425)","(4,425)"
,4.优先股股息,36,-,-,-,-,-,-,"(874,874)",
,5.永续债利息,36,-,-,-,-,-,-,"(1,975)","(1,975)"
(四),股东权益内部结转,,,,,,,,,
,1.其他综合收益结转留存收益,47,-,-,-,(115),-,-,115,-
三、,2022年12月31日余额,,"19,406","69,944","80,816","2,660","10,781","64,768","186,305","434,680"
