项目,附注四,2023年度,2022年度
银行利润表,,,
营业收入,,,
利息收入,37,"227,511","228,793"
利息支出,37,"(109,633)","(98,764)"
利息净收入,37,"117,878","130,029"
手续费及佣金收入,38,"33,914","36,914"
手续费及佣金支出,38,"(7,436)","(9,658)"
手续费及佣金净收入,38,"26,478","27,256"
投资收益,39,"15,959","13,051"
其中：以摊余成本计量的金融资产终止确认产,,,
生的收益,,"1,160",
公允价值变动损益,"(40,317)",,"1,397"
汇兑损益,"41,662",,"4,548"
其他业务收入,"42,538",,131
资产处置损益,,"144,180",
其他收益,,"224,213",
营业收入合计,,"161,566","176,805"
营业支出,,,
税金及附加,43,"(1,699)","(1,708)"
业务及管理费,44,"(45,214)","(48,711)"
营业支出合计,,"(46,913)","(50,419)"
减值损失前营业利润,,"114,653","126,386"
信用减值损失,45,"(59,013)","(71,341)"
其他资产减值损失,,"(7,735)",
营业利润,,"55,563","55,080"
加：营业外收入,,"4,964",
减：营业外支出,,"(259,285)",
利润总额,,"55,353","54,859"
减：所得税费用,46,"(10,783)","(11,226)"
净利润,,"44,570","43,633"
持续经营净利润,,"44,570","43,633"
终止经营净利润,,-,-
