Title,Link,Source,Time,Summary,Company,Page,CrawlTime,TimeRange
平安银行：2023暖橙行动圆满收官，专业反诈守护家家平安,https://www.iwencai.com/unifiedwap/inforesult?w=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C&querytype=news&search1=&search2=&search3=2024-01-01~2024-01-31&search4=&search5=&page=1,iWenCai,Unknown time,平安银行：2023暖橙行动圆满收官，专业反诈守护家家平安,平安银行,1,2025-12-16 00:54:58,2024-01-01 to 2024-01-31
"平安银行还联合复旦大学、同济大学、上海交通大学等知名高校举办""平安暖橙杯-金融科技创新大赛"",共同探索金融高质量发展之道。 初心不改,使命不怠。过去一年,平安银行“暖橙行动”...",https://www.iwencai.com/unifiedwap/inforesult?w=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C&querytype=news&search1=&search2=&search3=2024-01-01~2024-01-31&search4=&search5=&page=1,iWenCai,Unknown time,"如杭州分行联合公安机关以网络直播形式进行《反电信网络诈骗法》宣教,并做客嘉兴广电FM104.1频率,吸引超百万人次关注;哈尔滨分行深入市民大厦、税务局等地开展金融知识普及活动,为机关服务人员、办事群众筑牢防范电信网络诈骗的“铜墙铁壁”;此外,为激活青年人才的金融创新活力,进一步构建新时代金融安全防范",平安银行,1,2025-12-16 00:54:58,2024-01-01 to 2024-01-31
平安银行将打头阵,https://www.iwencai.com/unifiedwap/inforesult?w=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C&querytype=news&search1=&search2=&search3=2024-01-01~2024-01-31&search4=&search5=&page=1,iWenCai,Unknown time,A股上市银行年报披露时间基本敲定，平安银行将打头阵,平安银行,1,2025-12-16 00:54:58,2024-01-01 to 2024-01-31
平安银行郑州分行积极开展“迎双节 送温暖 固成果”活动,https://www.iwencai.com/unifiedwap/inforesult?w=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C&querytype=news&search1=&search2=&search3=2024-01-01~2024-01-31&search4=&search5=&page=1,iWenCai,Unknown time,平安银行郑州分行积极开展“迎双节 送温暖 固成果”活动,平安银行,1,2025-12-16 00:54:58,2024-01-01 to 2024-01-31
平安银行郑州分行党委高度重视乡村振兴及驻村帮扶，选派专职干部常年驻村开展工作，并已向下枣庄村捐赠资金30万元，完成文化广场建设，持续开展消费帮扶、节日慰问等活动，助力村两委推进土地流转试点工作。202...,https://www.iwencai.com/unifiedwap/inforesult?w=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C&querytype=news&search1=&search2=&search3=2024-01-01~2024-01-31&search4=&search5=&page=1,iWenCai,Unknown time,“双节”祝福，询问了解他们的身体状况、家庭情况以及存在的困难，帮助解决急难愁盼问题。期间，李梦方一行实地察看了分行援建的文化广场、与村两委和驻村工作队召开现场调研，认真听取工作开展情况、存在困难及下一步发展规划和帮扶举措等，并为分行驻村工作队送去生活用品。平安银行郑州分行党委高度重视乡村振兴及驻村帮,平安银行,1,2025-12-16 00:54:58,2024-01-01 to 2024-01-31
平安银行大宗交易成交104.21万股 成交额891.00万元,https://www.iwencai.com/unifiedwap/inforesult?w=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C&querytype=news&search1=&search2=&search3=2024-01-01~2024-01-31&search4=&search5=&page=1,iWenCai,Unknown time,平安银行大宗交易成交104.21万股 成交额891.00万元,平安银行,1,2025-12-16 00:54:58,2024-01-01 to 2024-01-31
平安银行今日收盘价为9.46元，下跌0.42%，日换手率为0.70%，成交额为12.87亿元，全天主力资金净流出1.83亿元，近5日该股累计上涨1.39%，近5日资金合计净流出4159.88万元。 两...,https://www.iwencai.com/unifiedwap/inforesult?w=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C&querytype=news&search1=&search2=&search3=2024-01-01~2024-01-31&search4=&search5=&page=1,iWenCai,Unknown time,相对今日收盘价折价9.62%。该笔交易的买方营业部为中信证券股份有限公司上海漕溪北路证券营业部，卖方营业部为平安证券股份有限公司上海巨鹿路营业部。 进一步统计，近3个月内该股累计发生4笔大宗交易，合计成交金额为2031.89万元。 证券时报数据宝统计显示，平安银行今日收盘价为9.46元，下跌0.42,平安银行,1,2025-12-16 00:54:58,2024-01-01 to 2024-01-31
平安银行1月31日大宗交易平台出现一笔成交，成交量104.21万股，成交金额891.00万元，大宗交易成交价为8.55元，相对今日收盘价折价9.62%。该笔交易的买方营业部为中信证券股份有限公司上海漕...,https://www.iwencai.com/unifiedwap/inforesult?w=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C&querytype=news&search1=&search2=&search3=2024-01-01~2024-01-31&search4=&search5=&page=1,iWenCai,Unknown time,平安银行1月31日大宗交易平台出现一笔成交，成交量104.21万股，成交金额891.00万元，大宗交易成交价为8.55元，相对今日收盘价折价9.62%。该笔交易的买方营业部为中信证券股份有限公司上海漕溪北路证券营业部，卖方营业部为平安证券股份有限公司上海巨鹿路营业部。 进一步统计，近3个月内该股累计,平安银行,1,2025-12-16 00:54:58,2024-01-01 to 2024-01-31
平安银行发布公告称，根据《中华人民共和国商业银行法》、《中华人民共和国银行业监督管理法》及其他相关法律法规规定，因经营地址变更，平安银行股份有限公司上海汇成支行换领《中华人民共和国金融许可证》，具体金...,https://www.iwencai.com/unifiedwap/inforesult?w=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C&querytype=news&search1=&search2=&search3=2024-01-01~2024-01-31&search4=&search5=&page=1,iWenCai,2024年1月30日,2024年1月30日，平安银行发布公告称，根据《中华人民共和国商业银行法》、《中华人民共和国银行业监督管理法》及其他相关法律法规规定，因经营地址变更，平安银行股份有限公司上海汇成支行换领《中华人民共和国金融许可证》，具体金融许可证信息如下： 机构名称：平安银行股份有限公司上海汇成支行 广告 财经日历,平安银行,1,2025-12-16 00:54:58,2024-01-01 to 2024-01-31
平安银行发布公告称，根据《中华人民共和国商业银行法》、《中华人民共和国银行业监督管理法》及其他相关法律法规规定，因经营地址变更，平安银行股份有限公司重庆新牌坊支行换领《中华人民共和国金融许可证》，具体...,https://www.iwencai.com/unifiedwap/inforesult?w=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C&querytype=news&search1=&search2=&search3=2024-01-01~2024-01-31&search4=&search5=&page=1,iWenCai,2024年1月26日,2024年1月26日，平安银行发布公告称，根据《中华人民共和国商业银行法》、《中华人民共和国银行业监督管理法》及其他相关法律法规规定，因经营地址变更，平安银行股份有限公司重庆新牌坊支行换领《中华人民共和国金融许可证》，具体金融许可证信息如下： 机构名称：平安银行股份有限公司重庆新牌坊支行 广告 财经,平安银行,1,2025-12-16 00:54:58,2024-01-01 to 2024-01-31
