项目,本次变动前,列3,本次变动增减,列5,列6,列7,列8,本次变动后,列10
,数量,比例(%),发行新股,送股,公积金转股,其他,小计,数量,比例(%)
一、有限售条件股份,"371,248",约0,-,-,-,-,-,"371,248",约0
1、国家持股,-,-,-,-,-,-,-,-,-
2、国有法人持股,-,-,-,-,-,-,-,-,-
3、其他内资持股,"371,248",约0,-,-,-,-,-,"371,248",约0
其中：,"156,145",约0,,,,,,"156,145",约0
境内法人持股,"156,145",约0,,,,,,"156,145",约0
境内自然人持股,"215,103",约0,-,-,-,-,-,"215,103",约0
4、外资持股,-,-,-,-,-,-,-,-,-
其中：,,,,,,,,,
境外法人持股,,,,,,,,,
境外自然人持股,-,-,-,-,-,-,-,-,-
二、无限售条件股份,"19,405,546,950",约100,-,-,-,-,-,"19,405,546,950",约100
1、人民币普通股,"19,405,546,950",约100,-,-,-,-,-,"19,405,546,950",约100
2、境内上市的外资股,-,-,-,-,-,-,-,-,-
3、境外上市的外资股,-,-,-,-,-,-,-,-,-
4、其他,-,-,-,-,-,-,-,-,-
三、股份总数,"19,405,918,198",100,-,-,-,-,-,"19,405,918,198",100
