项目,"7.1 股份变
7.1.1 股份变","动情况
动情况",列4,第七,章 股,份,变动及股东,情况,列10,（单位：股）,列12
股份类,别,本次变,动,前,,,本次变动增减,,,本次变动后,
股份类,数,本次变,动,前,,,本次变动增减,,,本次变动后,
,,量,,比例(%),发行新股,送股,公积金转股 其他,小计,,数量 比例,(%)
一、有限售条,件股份,"371,248",,约0,-,-,-,-,-,"371,248",约0
1、国家持股,,,-,-,-,-,-,-,-,-,-
2、国有法人,持股,,-,-,-,-,-,-,-,-,-
3、其他内资,持股,"371,248",,约0,-,-,-,-,-,"371,248",约0
其中：,股,"156,145",,约0,,,,,,"156,145",约0
境内法人持,股,"156,145",,约0,,,,,,"156,145",约0
境内自然人,持股,"215,103",,约0,-,-,-,-,-,"215,103",约0
4、外资持股,,,-,-,-,-,-,-,-,-,-
其中：,股,,,,,,,,,,
境外法人持,股,,,,,,,,,,
境外自然人,持股,,-,-,-,-,-,-,-,-,-
二、无限售条,"件股份 19,405",",546,95",0,约100,-,-,-,-,-,"19,405,546,950",约100
1、人民币普,"通股 19,405",",546,95",0,约100,-,-,-,-,-,"19,405,546,950",约100
2、境内上市的,外资股,,-,-,-,-,-,-,-,-,-
3、境外上市的,外资股,,-,-,-,-,-,-,-,-,-
4、其他,,,-,-,-,-,-,-,-,-,-
三、股份总,"数 19,405",",918,19","8,100",,-,-,-,-,-,"19,405,918,198",100
