项目,持股数量,（%）,增减变动情况,件的股份数量,件的股份数量_2,股份状态
境内法人,"9,618,540,236",49.56,-,-,"9,618,540,236",-
境内法人,,,,,,
,"1,186,100,488",6.11,-,-,"1,186,100,488",-
境外法人,"739,915,586",3.81,"(505,532,904)",-,"739,915,586",-
境内法人,"440,478,714",2.27,-,-,"440,478,714",-
境内法人,,,,,,
,"429,232,688",2.21,-,-,"429,232,688",-
境内法人,,,,,,
,"71,708,438",0.37,"31,947,600",-,"71,708,438",-
境内法人,"62,523,366",0.32,-,-,"62,523,366",-
境内法人,,,,,,
,"58,894,176",0.30,-,-,"58,894,176",-
境内法人,"52,383,468",0.27,"(14,783,600)",-,"52,383,468",-
自然人,"51,630,000",0.27,"27,349,100",-,"51,630,000",-
