项目,（集团）股份有限公司－集团本级－自有,"9,618,540,236","人民币普通股 9,","618,540,236"
资金,,,,
中国平安人寿,保险股份有限公司－自有资金,"1,186,100,488","人民币普通股 1,","186,100,488"
香港中央结算,有限公司,"739,915,586",人民币普通股,"739,915,586"
中国平安人寿,保险股份有限公司－传统－普通保险产,,人民币普通股,
品,,"440,478,714",,"440,478,714"
中国证券金融,股份有限公司,"429,232,688",人民币普通股,"429,232,688"
中国工商银行,股份有限公司－华泰柏瑞沪深300交易型,,人民币普通股,
开放式指数证,券投资基金,"71,708,438",,"71,708,438"
深圳中电投资,有限公司,"62,523,366",人民币普通股,"62,523,366"
和谐健康保险,股份有限公司－万能产品,"58,894,176",人民币普通股,"58,894,176"
交通银行股份,有限公司－易方达上证50指数增强型证,,人民币普通股,
券投资基金,,"52,383,468",,"52,383,468"
胡茂响,,"51,630,000",人民币普通股,"51,630,000"
前10名无限售,流通股股东之 1、中国平安人寿保险股份有限公司,为中国平安保险（,集团）股份有限公司控股子公司和一,致行动人，
间，以及前10,名无限售流通 “中国平安保险（集团）股份有限公,司－集团本级－,自有资金”“中国平安人寿保险股份有,限公司－自
股股东和前10,名股东之间关 有资金”与“中国平安人寿保险股份,有限公司－传统,－普通保险产品”具有关联关系。,
联关系或一致,行动的说明 2、本行未知其他股东间的关联关系,，也未知其是否属,于一致行动人。,
前10名股东参,与融资融券业务 股东胡茂响除通过普通证券账户持有,"130,000股外，还",通过信达证券股份有限公司客户信用,交易担保证
股东情,"况说明 券账户持有51,500,000股，实际合计","持有51,630,000",股。,
,前10名股东、前10名无限售条件股东在报告,期内是否进行,约定购回交易,
,□是 √否,,,
,前十名股东参与转融通业务出借股份情况,,,
,√适用 □不适用,,,
,,,（单位：股,）
,前十名股东参与转融,通出借股份情况,,
,期初普通账户、信用账户 期初转融通出借股,份且 期末普,通账户、信用账户 期末转融通出借股,份且尚未
,持股 尚未归还,,持股 归还,
股东名称（全,称）,,,
,占总股本 占总,股本,占总股本 占总,股本比例
,数量合计 数量合计,数量合,计 数量合计,（%）
,比例（%） 比例,（%）,比例（%）,（%）
中国工商银行,股份有,,,
限公司－华泰,柏瑞沪,,,
深300交易型,"39,760,838 0.20 -","- 71,708",",438 0.37 921,100",0.00
深300交易型,开放式,"- 71,708",",438 0.37 921,100",0.00
指数证券投资,基金,,,
