项目,"年年度报告
国际证券－中国
－中银证券中国
境内法人
汇中32号集合资
理计划
优先股在除股息分配和剩余
分配以外的其他条款上具有
设置的说明","2.23 4,465,0","00 - -
不适用","4,465,000",- -
前10,名优先股股东之间，前10,1、中国平安人寿保险,股份有限公司和中国平安,财产保险股份有限公,司均为中国平安保
名优,先股股东与前10名普通股股,险（集团）股份有限,公司控股子公司和一致行,动人，“中国平安保,险（集团）股份
东之,间存在关联关系或一致行动,有限公司－集团本级,－自有资金”“中国平安人,寿保险股份有限公,司－自有资金”
人的,说明,“中国平安人寿保险,股份有限公司－传统－普,通保险产品”“中国,平安人寿保险股份
,,有限公司－分红－个险,分红”“中国平安人寿保险,股份有限公司－万能,－个险万能”与“中
,,国平安财产保险股份有,限公司－传统－普通保险产,品”具有关联关系,。
,,2、本行未知其他股东,间的关联关系，也未知其,是否属于一致行动,人。
8.3,公司优先股的利润分,配情况,,,
,√适用 □不适用,,,,
,分,配金额 是否符合分配,条件和,（货币单位,：人民币百万元）
,分配时间 股息率,配金额 是否符合分配,股息支付方式,股息是否累积,是否参与剩余
2023,（,含税） 相关程,序,次 否,利润分配
2023,年3月7日 4.37%,874 是,每年现金付息一,次 否,否
,公司近三年优先股分配情,况表,,,
分,配年度 分配金额（含税）,分配年度归属于本,行股东占归属于本行股东,（货币单位,：人民币百万元）
分,配年度 分配金额（含税）,的净利润,润的比例,因可分配利,润不足而累积到
分,配年度 分配金额（含税）,,,的净利,度的差额或可参
分,配年度 分配金额（含税）,,,下一会计年,
20,23年 874,4,"6,455",与剩余利润,分配部分的说明
20,22年 874,4,"5,516",1.88%,不适用
20,21年 874,3,"6,336",1.92%,不适用
,,,,2.41%,不适用
,优先股利润分配政策是否,调整或变更,,,
,□是 √否,,,,
,公司报告期内盈利且母公,司未分配利润为正,但未对优先股进行利,润分配,
,□适用 √不适用,,,,
,优先股分配的其他事项说,明,,,
,□适用 √不适用,,,,
8.4,优先股回购或转换情,况,,,
,□适用 √不适用,,,,
,报告期内不存在优先股回,购或转换情况。,,,
