项目,附注四 2023年,12月31日 2022年,12月31日
合并资产负债表,,,
资产,,,
现金及存放中央银行款项,1,"274,663","285,277"
存放同业款项,2,"93,597","98,329"
贵金属,,"9,680","16,555"
拆出资金,3,"220,707","133,921"
衍生金融资产,4,"40,521","27,553"
买入返售金融资产,5,"110,830","41,561"
发放贷款和垫款,6,"3,320,110","3,242,258"
金融投资：,,,
交易性金融资产,7,"450,293","446,133"
债权投资,8,"772,467","731,850"
其他债权投资,9,"161,931","172,233"
其他权益工具投资,10,"6,214","6,380"
投资性房地产,"12,335",,477
固定资产,13,"9,814","11,083"
使用权资产,14,"5,776","6,530"
无形资产,15,"6,622","6,879"
商誉,16,"7,568","7,568"
递延所得税资产,17,"45,757","44,079"
其他资产,18,"50,231","42,848"
资产总计,,"5,587,116","5,321,514"
后附财务报表附注为本财务报表的组成部分。,,,
