项目,附注四,2023年12月31日,2022年12月31日
合并资产负债表(续),,,
负债,,,
向中央银行借款,20,"208,783","191,916"
同业及其他金融机构存放款项,21,"467,791","407,278"
拆入资金,22,"49,059","57,393"
交易性金融负债,23,"31,614","64,943"
衍生金融负债,4,"42,220","36,525"
卖出回购金融资产款,24,"58,152","13,303"
吸收存款,25,"3,458,287","3,352,266"
应付职工薪酬,26,"17,189","18,571"
应交税费,27,"9,380","14,674"
已发行债务证券,28,"728,328","692,075"
租赁负债,14,"6,210","6,922"
预计负债,29,"13,498","9,730"
其他负债,30,"24,277","21,238"
负债合计,,"5,114,788","4,886,834"
股东权益,,,
股本,31,"19,406","19,406"
其他权益工具,32,"69,944","69,944"
其中：优先股,,"19,953","19,953"
永续债,,"49,991","49,991"
资本公积,33,"80,761","80,816"
其他综合收益,47,"2,264","2,660"
盈余公积,34,"10,781","10,781"
一般风险准备,35,"67,917","64,768"
未分配利润,36,"221,255","186,305"
股东权益合计,,"472,328","434,680"
负债及股东权益总计,,"5,587,116","5,321,514"
后附财务报表附注为本财务报表的组成部分。,,,
财务报表由以下人士签署：,,,
,副行长兼,会计机,构
法定代表人 行长,首席财务官,负责人,
