项目,附注四,2023年度,2022年度
合并利润表,,,
营业收入,,,
利息收入,37,"227,617","228,878"
利息支出,37,"(109,626)","(98,748)"
利息净收入,37,"117,991","130,130"
手续费及佣金收入,38,"35,042","37,754"
手续费及佣金支出,38,"(5,612)","(7,546)"
手续费及佣金净收入,38,"29,430","30,208"
投资收益,39,"16,054","13,243"
其中：以摊余成本计量的金融资产终止确认产,,,
生的收益,,"1,160",
公允价值变动损益,"(40,354)",,"1,240"
汇兑损益,"41,662",,"4,548"
其他业务收入,"42,538",,131
资产处置损益,,"144,180",
其他收益,,"234,215",
营业收入合计,,"164,699","179,895"
营业支出,,,
税金及附加,43,"(1,718)","(1,727)"
业务及管理费,44,"(45,959)","(49,387)"
营业支出合计,,"(47,677)","(51,114)"
减值损失前营业利润,,"117,022","128,781"
信用减值损失,45,"(59,017)","(71,341)"
其他资产减值损失,,"(7,735)",
营业利润,,"57,928","57,475"
加：营业外收入,,"4,964",
减：营业外支出,,"(259,286)",
利润总额,,"57,718","57,253"
减：所得税费用,46,"(11,263)","(11,737)"
净利润,,"46,455","45,516"
持续经营净利润,,"46,455","45,516"
终止经营净利润,,-,-
