项目,2023年度,2022年度
合并现金流量表(续),,
投资活动产生的现金流量,,
收回投资收到的现金,"402,105","491,914"
取得投资收益收到的现金,"38,401","38,427"
处置固定资产及其他长期资产收回的现金,"219,291",
投资活动现金流入小计,"440,725","530,632"
投资支付的现金,"(463,771)","(509,231)"
购建固定资产、无形资产及其他长期资产所支,,
付的现金,"(3,096)","(3,543)"
投资活动现金流出小计,"(466,867)","(512,774)"
投资活动(使用)/产生的现金流量净额,"(26,142)","17,858"
筹资活动产生的现金流量,,
发行债务证券及其他权益工具收到的现金,"933,416","679,189"
筹资活动现金流入小计,"933,416","679,189"
偿还债务证券本金支付的现金,"(908,807)","(825,906)"
偿付债务证券利息支付的现金,"(5,393)","(4,613)"
分配股利及利润支付的现金,"(8,380)","(7,274)"
偿还租赁负债支付的现金,"(2,747)","(2,801)"
筹资活动现金流出小计,"(925,327)","(840,594)"
筹资活动产生/(使用)的现金流量净额,"8,089","(161,405)"
汇率变动对现金及现金等价物的影响,"1,485","6,079"
现金及现金等价物净增加/(减少)额,"75,893","(2,896)"
加：年初现金及现金等价物余额,"222,326","225,222"
年末现金及现金等价物余额 49,"298,219","222,326"
