项目,附注四,2023年度,2022年度
银行现金流量表(续),,,
资料,,,
将净利润调节为经营活动的现金流量,,,
净利润,,"44,570","43,633"
调整：,,,
信用减值损失,45,"59,013","71,341"
其他资产减值损失,,"(7,735)",
已发生减值的金融资产产生的利息收入,,"(8,345)",
投资性房地产折旧,,"1,824",
固定资产折旧,44,"1,869","1,915"
使用权资产折旧,44,"2,486","2,617"
无形资产摊销,"44,789",,732
长期待摊费用摊销,,"746,709",
处置固定资产和其他长期资产的净损益,,"(7,101)",
金融工具公允价值变动损益,,"(4,087)","(4,639)"
外汇衍生金融工具公允价值变动损益,,"(6,678)","8,061"
投资利息收入及投资收益,,"(36,969)","(33,920)"
递延所得税资产的增加,46,"(1,522)","(4,601)"
租赁负债的利息费用,,"200,218",
已发行债务证券利息支出,37,"17,038","19,470"
经营性应收项目的增加,,"(173,846)","(460,275)"
经营性应付项目的增加,,"170,282","488,300"
预计诉讼损失的计提,,"6,475",
经营活动产生的现金流量净额,,"73,960","133,479"
现金及现金等价物净增加/(减少)情况,,,
现金的年末余额,49,"3,687","4,162"
减：现金的年初余额,,"(4,162)","(3,685)"
加：现金等价物的年末余额,49,"293,614","217,454"
减：现金等价物的年初余额,,"(217,454)","(221,210)"
现金及现金等价物净增加/(减少)额,,"75,685","(3,279)"
