项目,列2,列3,列4,列5,列6,列7,列8
第二章会计数据和财务指标,,,,,,,
第二章 会,计,,数据,和,财,务指标,
2.1 关键指标,,,,,,,
,,,,,,,（货币单位：人民币百万元）
项 目,,202,3年,,,2022年,本年同比增减
营业收入,,202,"164,699",,,"179,8",95 (8.4%)
归属于本行股东的净利润,,202,"46,455",,,"45,5",16 2.1%
成本收入比,,202,27.90%,,,27.45,% +0.45个百分点
平均总资产收益率,,202,0.85%,,,0.89,% -0.04个百分点
加权平均净资产收益率,,202,11.38%,,,12.36,% -0.98个百分点
净息差,,202,2.38%,,,2.75,% -0.37个百分点
非利息净收入占比,,202,28.36%,,,27.66,% +0.70个百分点
2,023,年1,2月31日,"2,022",,年12月31,日 本年末比上年末增减
吸收存款本金,023,年1,"3,407,295","2,022",,"3,312,6",84 2.9%
发放贷款和垫款本金总额,023,年1,"3,407,509","2,022",,"3,329,1",61 2.4%
不良贷款率,023,年1,1.06%,"2,022",,1.05,% +0.01个百分点
拨备覆盖率,023,年1,277.63%,"2,022",,290.28,% -12.65个百分点
逾期60天以上贷款偏离度,023,年1,0.74,"2,022",,0.,83 -0.09
资本充足率,023,年1,13.43%,"2,022",,13.01,% +0.42个百分点
2.2 主要会计数据和财务指标,,,,,,,
项 目,"2,023",,年,20,22年,2,（货币单位：人民币百万元）
资产总额,12,月3,1日,12月,31,日 12,021年 本年末比上年末
,,"5,5","87,116",5,",321",",514",月31日 增减
,,,,,,,"4,921,380 5.0%"
股东权益,247,,"2,328","20,434",,",680","395,448 8.7%"
归属于本行普通股股东的股东权益,240,,"2,384","20,364",,",736","325,504 10.3%"
股本,21,,"9,406","2,019",,",406","19,406 -"
归属于本行普通股股东的每股净资产（元/股）,"2,023",,20.74,201,,8.80,16.77 10.3%
项 目,21,,年,20,22年,2,021年 本年同比增减
营业收入,21,,"64,699","20,179",,",895","169,383 (8.4%)"
信用及其他资产减值损失前营业利润,2,,"17,022","20,128",,",781","119,802 (9.1%)"
信用及其他资产减值损失,2,,"59,094","2,071",,",306","73,817 (17.1%)"
营业利润,,,"57,928",,57,",475","45,985 0.8%"
利润总额,,,"57,718",,57,",253","45,879 0.8%"
归属于本行股东的净利润,,,"46,455",,45,",516","36,336 2.1%"
扣除非经常性损益后归属于本行股东的净利润,,,"46,431",,45,",407","36,230 2.3%"
