项目,财务报,表主要项目附注(续),列4,列5
财务报表附注(续),,,,
6.,发放贷,款和垫款(续),,
6.5,按地区,分布情况分析,,
,,,本集团及本,行
,,,2023年12月31日,2022年12月31日
,东区,,"782,187","711,833"
,南区,,"706,021","649,810"
,西区,,"335,842","310,687"
,北区,,"559,056","490,360"
,总部,,"991,440","1,136,487"
,境外,,"32,963","29,984"
,贷款和,垫款总额,"3,407,509","3,329,161"
,加：应,计利息,"9,954","11,016"
,减：贷,款减值准备(见附注四、6.6),"(97,353)","(97,919)"
,贷款和,垫款账面价值,"3,320,110","3,242,258"
,对应的机,构为：,,
“,东区”：,上海分行、杭州分行、扬州分行、义乌分行、台州,分行、绍兴分行、湖州,分行、宁波分行、
,,温州分行、南京分行、无锡分行、常州分行、苏州,分行、南通分行、泰州,分行、福州分行、
,,漳州分行、福建自贸试验区福州片区分行、厦门分,行、福建自贸试验区厦,门片区分行、泉州
,,分行、上海自贸试验区分行、合肥分行、芜湖分行,、徐州分行、南昌分行,、盐城分行、莆田
,,分行、镇江分行、阜阳分行、赣州分行、九江分行,；,
“,南区”：,深圳分行、深圳前海分行、广州分行、广东自贸试,验区南沙分行、珠海分,行、横琴粤澳深度
,,合作区分行、佛山分行、东莞分行、惠州分行、中山,分行、海口分行、长沙,分行、衡阳分行、
,,岳阳分行、南宁分行、三亚分行、常德分行、柳州,分行、汕头分行、湛江,分行、江门分行；
“,西区”：,重庆分行、成都分行、德阳分行、乐山分行、绵阳,分行、昆明分行、红河,分行、武汉分行、
,,荆州分行、襄阳分行、宜昌分行、西安分行、咸阳,分行、贵阳分行、重庆,自由贸易试验区分
,,行、遵义分行、黄冈分行；,,
“,北区”：,北京分行、大连分行、天津分行、天津自由贸易试,验区分行、济南分行、,临沂分行、潍坊分
,,行、东营分行、青岛分行、烟台分行、日照分行、,郑州分行、洛阳分行、,沈阳分行、石家庄
,,分行、太原分行、唐山分行、淄博分行、济宁分行,、晋中分行、廊坊分行,、南阳分行、威海
,,分行、呼和浩特分行、开封分行、泰安分行、保定,分行、乌鲁木齐分行、,鞍山分行、兰州分
,,行、沧州分行、哈尔滨分行、青岛自贸区分行、银川,分行、新乡分行、邯郸,分行、包头分行、
,,长春分行；,,
