项目,财务报表主要项目附注(续),列3,列4
财务报表附注(续),,,
18.,其他资产,,
(a),按性质分析,,
,,本集团,
,,2023年12月31日,2022年12月31日
,预付账款及押金(见附注四、18b),"1,332","1,486"
,暂付诉讼费,"785,913",
,应收手续费,"3,669","4,875"
,抵债资产(见附注四、18c),"1,793","2,059"
,在建工程(见附注四、18d),"1,846",789
,长期待摊费用(见附注四、18e),"1,379","1,429"
,应收清算款,"39,036","29,680"
,开发支出,"128,138",
,应收利息,"1,025","1,029"
,其他,"3,137","3,402"
,其他资产合计,"54,130","45,800"
,减：减值准备,,
,抵债资产(见附注四、18c),"(1,587)","(1,699)"
,其他,"(2,312)","(1,253)"
,减值准备合计,"(3,899)","(2,952)"
,其他资产净值,"50,231","42,848"
,,本行,
,,2023年12月31日,2022年12月31日
,预付账款及押金(见附注四、18b),"1,317","1,475"
,暂付诉讼费,"785,913",
,应收手续费,"3,496","4,623"
,抵债资产(见附注四、18c),"1,793","2,059"
,在建工程(见附注四、18d),"1,846",789
,长期待摊费用(见附注四、18e),"1,379","1,429"
,应收清算款,"39,036","29,680"
,开发支出,"128,138",
,应收利息,"1,025","1,029"
,其他,"3,133","3,399"
,其他资产合计,"53,938","45,534"
,减：减值准备,,
,抵债资产(见附注四、18c),"(1,587)","(1,699)"
,其他,"(2,312)","(1,253)"
,减值准备合计,"(3,899)","(2,952)"
,其他资产净值,"50,039","42,582"
