项目,2023年12月31日,2022年12月31日
财务报表附注(续),,
活期存款,,
公司客户,"902,975","879,189"
个人客户,"290,336","297,120"
小计,"1,193,311","1,176,309"
定期存款,,
公司客户,"1,296,702","1,398,525"
个人客户,"917,282","737,850"
小计,"2,213,984","2,136,375"
加：应计利息,"50,992","39,582"
合计,"3,458,287","3,352,266"
,本行,
,2023年12月31日,2022年12月31日
活期存款,,
公司客户,"902,975","879,193"
个人客户,"290,336","297,120"
小计,"1,193,311","1,176,313"
定期存款,,
公司客户,"1,296,702","1,398,525"
个人客户,"917,282","737,850"
小计,"2,213,984","2,136,375"
加：应计利息,"50,992","39,582"
合计,"3,458,287","3,352,270"
