项目,2023年12月31日,列3,2022年12月31日,列5
第二章会计数据和财务指标,,,,
,本集团,本行,本集团,本行
核心一级资本净额,"384,886","373,325","343,409","333,914"
其他一级资本,"69,944","69,944","69,944","69,944"
一级资本净额,"454,830","443,269","413,353","403,858"
二级资本,"105,943","105,896","103,684","103,652"
资本净额,"560,773","549,165","517,037","507,510"
风险加权资产合计,"4,174,044","4,163,832","3,975,182","3,968,099"
信用风险加权资产,"3,722,711","3,718,869","3,539,646","3,537,017"
表内风险加权资产,"3,118,974","3,115,132","3,025,807","3,023,178"
表外风险加权资产,"594,788","594,788","506,034","506,034"
交易对手信用风险暴露的风险加权资产,"8,949","8,949","7,805","7,805"
市场风险加权资产,"128,970","128,130","120,638","119,993"
操作风险加权资产,"322,363","316,833","314,898","311,089"
核心一级资本充足率,9.22%,8.97%,8.64%,8.41%
一级资本充足率,10.90%,10.65%,10.40%,10.18%
资本充足率,13.43%,13.19%,13.01%,12.79%
信用风险资产组合缓释后风险暴露余额：,,,,
表内信用风险资产缓释后风险暴露余额,"4,999,649","4,993,873","4,784,498","4,779,955"
