项目,"3,844","3,715"
财务报表附注(续),,
存放同业、拆放同业及买入返售金融资产,"8,776","4,795"
发放贷款和垫款,"183,849","188,344"
金融投资,"31,148","32,024"
小计,"227,617","228,878"
息支出：,,
向中央银行借款,"4,101","3,860"
同业存放、同业拆入及卖出回购金融资产,"12,945","8,444"
吸收存款,"75,542","66,974"
已发行债务证券,"17,038","19,470"
小计,"109,626","98,748"
息净收入,"117,991","130,130"
,本行,
2,023年度 2,022年度
息收入：,,
存放中央银行款项,"3,844","3,715"
存放同业、拆放同业及买入返售金融资产,"8,754","4,770"
发放贷款和垫款,"183,849","188,344"
金融投资,"31,064","31,964"
小计,"227,511","228,793"
息支出：,,
向中央银行借款,"4,101","3,860"
同业存放、同业拆入及卖出回购金融资产,"12,952","8,460"
吸收存款,"75,542","66,974"
已发行债务证券,"17,038","19,470"
小计,"109,633","98,764"
息净收入,"117,878","130,029"
