项目,2023年度,2022年度
财务报表附注(续),,
员工费用,,
工资、奖金、津贴和补贴,"15,540","17,450"
社会保险及职工福利,"3,642","3,210"
住房公积金,"1,269","1,103"
工会经费及培训费,"458,454",
小计,"20,909","22,217"
固定资产折旧(见附注四、13),"1,879","1,933"
经营租入固定资产改良支出摊销,"693,639",
无形资产摊销(见附注四、15),"789,732",
使用权资产折旧费用(见附注四、14),"2,491","2,650"
租赁费,"633,614",
小计,"6,485","6,568"
一般业务管理费用,"18,565","20,602"
合计,"45,959","49,387"
,本行,
,2023年度,2022年度
员工费用,,
工资、奖金、津贴和补贴,"15,176","17,123"
社会保险及职工福利,"3,605","3,176"
住房公积金,"1,254","1,091"
工会经费及培训费,"450,448",
小计,"20,485","21,838"
固定资产折旧(见附注四、13),"1,869","1,915"
经营租入固定资产改良支出摊销,"693,637",
无形资产摊销(见附注四、15),"789,732",
使用权资产折旧费用(见附注四、14),"2,486","2,617"
租赁费,"592,602",
小计,"6,429","6,503"
一般业务管理费用,"18,300","20,370"
合计,"45,214","48,711"
