项目,列2,列3
财务报表附注(续),,
信用减值损失,,
,本集团,
,2023年度,2022年度
本年计提/(转回)减值损失：,,
存放同业款项,"(1,512)","1,502"
拆出资金,"(1,485)","2,175"
买入返售金融资产,"1,044",
发放贷款和垫款,"62,833","64,168"
债权投资,"(5,538)","(2,763)"
其他债权投资,"(498,127)",
其他资产,"1,423",407
信贷承诺预期信用损失,"3,690","5,721"
合计,"59,017","71,341"
,本行,
,2023年度,2022年度
本年计提/(转回)减值损失：,,
存放同业款项,"(1,513)","1,504"
拆出资金,"(1,485)","2,175"
买入返售金融资产,"1,034",
发放贷款和垫款,"62,833","64,168"
债权投资,"(5,540)","(2,765)"
其他债权投资,"(498,127)",
其他资产,"1,423",407
信贷承诺预期信用损失,"3,690","5,721"
合计,"59,013","71,341"
