项目,列2,2023年,2022年,2023年_2,2022年_2,2023年_3,2022年_3,2023年_4,2022年_4
第二章会计数据和财务指标,,,,,,,,,
营 业,金额,"96,161","103,007","53,581","63,322","14,957","13,566","164,699","179,895"
收 入,金额,"96,161","103,007","53,581","63,322","14,957","13,566","164,699","179,895"
,占比%,58.4,57.3,32.5,35.2,9.1,7.5,100.0,100.0
营 业,金额,"30,114","32,266","16,885","18,848",678,,"47,677","51,114"
支 出,金额,"30,114","32,266","16,885","18,848",678,,"47,677","51,114"
,占比%,63.2,63.1,35.4,36.9,1.4,-,100.0,100.0
减值损失前营,金额,"66,047","70,741","36,696","44,474","14,279","13,566","117,022","128,781"
业利润,金额,"66,047","70,741","36,696","44,474","14,279","13,566","117,022","128,781"
,占比%,56.4,54.9,31.4,34.6,12.2,10.5,100.0,100.0
信用及其他资,金额,"59,131","45,756",(63),"24,753","26,797",,"59,094","71,306"
产减值损失,金额,"59,131","45,756",(63),"24,753","26,797",,"59,094","71,306"
,占比%,100.1,64.2,(0.1),34.7,0.0,1.1,100.0,100.0
利 润,金额,"6,864","24,941","36,724","19,697","14,130","12,615","57,718","57,253"
总 额,金额,"6,864","24,941","36,724","19,697","14,130","12,615","57,718","57,253"
,占比%,11.9,43.6,63.6,34.4,24.5,22.0,100.0,100.0
净利润,金额,"5,525","19,828","29,558","15,659","11,372","10,029","46,455","45,516"
,占比%,11.9,43.6,63.6,34.4,24.5,22.0,100.0,100.0
