项目,财务报表主要项目附注(续),列3,列4
财务报表附注(续),,,
50.,收到其他与经营活动有关的现金,,
,,本集团,
,,2023年度,2022年度
,贵金属业务,"2,865","4,603"
,收到已核销款项,"17,795","11,952"
,处置抵债资产,"214,193",
,衍生金融工具,-,"2,375"
,票据转让价差,"1,789","2,567"
,债券借贷业务,-,"31,646"
,其他,"2,306",340
,合计,"24,969","53,676"
,,本行,
,,2023年度,2022年度
,贵金属业务,"2,865","4,603"
,收到已核销款项,"17,795","11,952"
,处置抵债资产,"214,193",
,衍生金融工具,-,"2,375"
,票据转让价差,"1,789","2,567"
,债券借贷业务,-,"31,646"
,其他,"2,297",337
,合计,"24,960","53,673"
51.,支付其他与经营活动有关的现金,,
,,本集团,
,,2023年度,2022年度
,衍生金融工具,"4,846",-
,债券借贷业务,"33,371",-
,业务宣传活动费、租赁费等管理费用及其他,"26,755","24,009"
,合计,"64,972","24,009"
,,本行,
,,2023年度,2022年度
,衍生金融工具,"4,846",-
,债券借贷业务,"33,371",-
,业务宣传活动费、租赁费等管理费用及其他,"26,426","23,742"
,合计,"64,643","23,742"
