项目,务报表主要项目附注(续),列3,列4,列5
财务报表附注(续),,,,
52. 结,构化主体(续),,,
(b) 本,集团投资的未纳入合并范围内的结构化主体(续),,,
,,,本集团,
,,2,022年12月31日,
,,,最大损失风险 结构化主体,总
,,账面价值,敞口 规,模
交,易性金融资产,,,
,基金,"184,228","184,228",注
,信托计划,"2,930","2,930",注
,资产管理计划,"1,616",,注
,资产支持证券及其他,"2,701","2,701 19,8",34
,小计,"189,875","189,875",
债,权投资,,,
,信托计划,"49,655","49,655",注
,资产管理计划,"38,748","38,748",注
,资产支持证券及其他,"9,434","9,434 123,1",06
,小计,"97,837","97,837",
其,他债权投资,,,
,信托计划,"11,847","11,847",注
,资产管理计划,"2,425","2,425",注
,资产支持证券,"35,270","35,270 259,8",92
,小计,"49,542","49,542",
合,计,"337,254","337,254",
本,集团因持有投资或为该结构化主体提供服务而获取利,息收入、手,续费收入和投资收益。,
注,：上述本集团持有投资的未纳入合并范围的结构化主,体的总体规,模，无公开可获得的市场信息,。
(c) 本,集团投资的纳入合并范围内的结构化主体,,,
