项目,列2,列3,财务报表附注(续),列5,列6,列7,列8
财务报表附注(续),,,,,,,
,,,2023年度,,,,
,(除特,别注明外,，金额单位均为人民币百万,元),,,
经营分部信息(续),,,,,,,
地区分部(续),,,,,,,
管理层对上述地区分部的经营成果进行监,控，并据此作出向,分部分,配资源的决策和评价分部的业,绩。在对地区分,部的经营成果进行监,控时，管理层主,要依赖营
业收入、营业支出、营业利润的数据。,,,,,,,
,,,2023,年度,,,
,东区,南区,西区,北区,总部,境外,合计
利息净收入(1),"22,878","23,317","8,053","15,863","47,665",215,"117,991"
非利息净收入(2),"2,233","4,912","1,286","2,990","35,014",273,"46,708"
营业收入,"25,111","28,229","9,339","18,853","82,679",488,"164,699"
营业支出(3),"(7,988)","(7,789)","(2,963)","(6,628)","(21,983)",(326),"(47,677)"
其中：折旧、摊销与租赁费,"(1,086)","(1,109)",(514),"(1,023)","(2,700)",(53),"(6,485)"
减值损失前营业利润,"17,123","20,440","6,376","12,225","60,696",162,"117,022"
信用及其他资产减值损失,"(8,433)","(5,350)","(3,496)","(6,316)","(35,733)",234,"(59,094)"
营业外净支出,(926),,(236),,(74),-,(210)
分部利润,"8,598","15,084","2,878","5,873","24,889",396,"57,718"
所得税费用,,,,,,,"(11,263)"
净利润,,,,,,,"46,455"
