项目,东区,南区,西区,北区,总部,境外,合计
财务报表附注(续),,,,,,,
利息净收入(1),"24,504","25,837","8,568","17,443","53,460",318,"130,130"
非利息净收入(2),"3,363","4,856","1,150","3,291","36,843",262,"49,765"
营业收入,"27,867","30,693","9,718","20,734","90,303",580,"179,895"
营业支出(3),"(8,092)","(8,229)","(3,072)","(6,672)","(24,769)",(280),"(51,114)"
其中：折旧、摊销与租赁费,"(1,122)","(1,054)",(589),"(1,057)","(2,710)",(36),"(6,568)"
减值损失前营业利润,"19,775","22,464","6,646","14,062","65,534",300,"128,781"
信用及其他资产减值损失,"(8,251)","(16,636)","(5,321)","(6,115)","(34,634)",(349),"(71,306)"
营业外净支出,"(6,888)",,"(2,122)",,(23),-,(222)
分部利润,"11,456","5,740","1,304","7,925","30,877",(49),"57,253"
所得税费用,,,,,,,"(11,737)"
净利润,,,,,,,"45,516"
