项目,列2,列3,注释 1,2月31日 1,2月31日
财务报表附注(续),,,,,
核,心,一级资本充足率,(a),9.22%,8.64%
一,级,资本充足率,(a),10.90%,10.40%
资,本,充足率,(a),13.43%,13.01%
核,心,一级资本,,,
,股,本,,"19,406","19,406"
,资,本公积、投资重估储备,,"80,761","80,816"
,盈,余公积,,"10,781","10,781"
,一,般风险准备,,"67,917","64,768"
,未,分配利润,,"221,255","186,305"
,其,他综合收益,,"(428,617)",
核,心,一级资本扣除项目,,,
,商,誉,,"7,568","7,568"
,其,他无形资产(不含土地使用权),(b),"2,465","2,549"
,其,他依赖于银行未来盈利的净递延税资产,,"4,773","7,933"
其,他,一级资本,,"69,944","69,944"
二,级,资本,,,
,二,级资本工具及其溢价,,"59,984","59,985"
,超,额贷款减值准备可计入部分,,"45,959","43,699"
核,心,一级资本净额,(c),"384,886","343,409"
一,级,资本净额,(c),"454,830","413,353"
资,本,净额,(c),"560,773","517,037"
风,险,加权资产,(d),"4,174,044","3,975,182"
(a,),核心一级资本充足率等于核心一级资本净额除以,风险加权资产；,一级资本充足率等,于一级资本
,,净额除以风险加权资产；资本充足率等于资本净,额除以风险加权,资产。,
(b,),其他无形资产(不含土地使用权)均为扣减了与之,相关的递延所得,税负债后的净额。,
(c,),核心一级资本净额等于核心一级资本减去核心一,级资本扣除项目,；一级资本净额等,于一级资本
,,减去一级资本扣除项目；资本净额等于总资本减,去总资本扣除项,目。,
(d,),风险加权资产包括信用风险加权资产、市场风险,加权资产和操作,风险加权资产。,
