项目,)：,本集团,列4,列5,列6
财务报表附注(续),,,,,
,,2022年度,,,
本年净增加/,第一阶段,三阶段变动,第二阶段,本年核销,年末余额
年初余额 (减少)(注),至第二阶段,三阶段变动,至第三阶段,本年核销,年末余额
,净转入/(转出),三阶段变动,净转入/(转出),本年核销,年末余额
,,第一阶段,,,
,,至第三阶段,,,
,,净转入/(转出),,,
"2,995,788 340,965","(126,378)",(707),"(65,193)","(59,802)","3,209,668"
"44,549 (14,009)","126,378",707,"65,193","(59,802)","91,725"
"33,672 (986)",,,,"(59,802)","38,784"
"3,074,009 325,970",-,-,-,"(59,802)","3,340,177"
"725,080 2,223",799,,"(1,330)",,"728,102"
"8,219 (3,006)",(799),,"1,330",,"3,084"
"15,977 (256)",,,,,"17,051"
"749,276 (1,039)",-,-,-,-,"748,237"
"149,680 21,157",55,,(384),,"170,892"
"2,710 (1,271)",(55),,384,,"1,000"
38 (81),,,,,341
"152,428 19,805",-,-,-,-,"172,233"
