项目,列2,列3,2023,年度,列6,列7,列8
财务报表附注(续),,,,,,,
年初余额,本年净增加/,拨备新增/,,三阶段变动,第二阶段,本年核销,年末余额
年初余额,(减少)(注1),(冲回)(注2),,三阶段变动,至第三阶段,本年核销,年末余额
年初余额,,,,三阶段变动,净转入/(转出),本年核销,年末余额
,,,第一阶段,第一阶段,,,
,,,至第二阶段,至第三阶段,,,
,,,净转入/(转出),净转入/(转出),,,
"56,531","24,435","(22,272)","(6,782)",408,"(16,566)","(68,585)","52,320"
"17,357","(3,870)","20,752","6,782",(408),"16,566","(68,585)","24,455"
"27,308","4,197","44,192",,,,"(68,585)","23,270"
"101,196","24,762","42,672",-,-,-,"(68,585)","100,045"
"5,679",182,"(3,643)",(98),,"(1,157)",,"2,120"
863,"(14,185)",,98,,"(1,157)",,763
"9,843","(2,074)","1,342",,,,(157),"8,953"
"16,385","(1,906)","(2,486)",-,-,-,(157),"11,836"
921,"(7,190)",,,,,,724
227,"(246,151)",,,,,,76
191,,97,,,,,42
"1,339","(253,244)",,-,-,-,-,842
