项目,2023年,列3,2022年,列5,本年同比
3.2财务报表分析,,,,,
项 目,,,,,
,金额,占比,金额,占比,增减
利息净收入,"117,991",71.6%,"130,130",72.3%,(9.3%)
存放中央银行款项,"3,844",1.6%,"3,715",1.6%,3.5%
存放同业、拆放同业及买入返售金融资产,"8,776",3.9%,"4,795",2.1%,83.0%
发放贷款和垫款,"183,849",80.8%,"188,344",82.3%,(2.4%)
金融投资,"31,148",13.7%,"32,024",14.0%,(2.7%)
利息收入小计,"227,617",100.0%,"228,878",100.0%,(0.6%)
向中央银行借款,"4,101",3.8%,"3,860",3.9%,6.2%
同业存放、同业拆入及卖出回购金融资产,"12,945",11.8%,"8,444",8.6%,53.3%
吸收存款,"75,542",68.9%,"66,974",67.8%,12.8%
已发行债务证券,"17,038",15.5%,"19,470",19.7%,(12.5%)
利息支出小计,"109,626",100.0%,"98,748",100.0%,11.0%
非利息净收入,"46,708",28.4%,"49,765",27.7%,(6.1%)
手续费及佣金净收入,"29,430",17.9%,"30,208",16.8%,(2.6%)
其他非利息净收入,"17,278",10.5%,"19,557",10.9%,(11.7%)
营业收入总额,"164,699",100.0%,"179,895",100.0%,(8.4%)
