项目,风险披露(续),列3,列4,列5,列6
财务报表附注(续),,,,,
1.,信用风险(续),,,,
1.3,信用风险衡量(续),,,,
,信用风险敞口分析(续),,,,
,债权投资(续),,,,
,,,本集团,,
,,,2022年12月,31日,
,,第一阶段,第二阶段,第三阶段,合计
,,12个月预期,整个存续期预期,整个存续期预期,
,信用等级,信用损失,信用损失,信用损失,
,低风险,"696,627",-,-,"696,627"
,中风险,"31,475","2,903",-,"34,378"
,高风险,-,181,-,181
,违约,-,-,"17,051","17,051"
,账面余额,"728,102","3,084","17,051","748,237"
,减值准备,"(5,681)",(863),"(9,843)","(16,387)"
,账面价值,"722,421","2,221","7,208","731,850"
,,,本行,,
,,,2022年12月,31日,
,,第一阶段,第二阶段,第三阶段,合计
,,12个月预期,整个存续期预期,整个存续期预期,
,信用等级,信用损失,信用损失,信用损失,
,低风险,"696,627",-,-,"696,627"
,中风险,"31,376","2,903",-,"34,279"
,高风险,-,181,-,181
,违约,-,-,"17,051","17,051"
,账面余额,"728,003","3,084","17,051","748,138"
,减值准备,"(5,679)",(863),"(9,843)","(16,385)"
,账面价值,"722,324","2,221","7,208","731,753"
