项目,2023年1-12月,列3,列4,2022年1-12月,列6,列7
,日均余额,利息收入/,平均收益/,日均余额,利息收入/,平均收益/
,日均余额,支出,成本率,日均余额,支出,成本率
资产,,,,,,
发放贷款和垫款,"3,387,714","183,849",5.43%,"3,190,601","188,344",5.90%
金融投资,"1,002,270","31,148",3.11%,"1,022,351","32,024",3.13%
存放央行,"250,380","3,844",1.54%,"249,879","3,715",1.49%
存拆放同业及其他,"325,699","8,776",2.69%,"276,107","4,795",1.74%
生息资产总计,"4,966,063","227,617",4.58%,"4,738,938","228,878",4.83%
负债,,,,,,
吸收存款,"3,437,377","75,542",2.20%,"3,205,027","66,974",2.09%
已发行债务证券,"662,372","17,038",2.57%,"726,966","19,470",2.68%
同业业务及其他,"738,980","17,046",2.31%,"633,752","12,304",1.94%
计息负债总计,"4,838,729","109,626",2.27%,"4,565,745","98,748",2.16%
利息净收入,,"117,991",,,"130,130",
存贷差,,,3.23%,,,3.81%
净利差,,,2.31%,,,2.67%
净息差,,,2.38%,,,2.75%
