项目,列2,列3,列4,列5
项目利息收入/平均收益/利息收入/平均收,,,,
,利息收入/,平均收益/,,利息收入/
日均余额,,,日均余额,
,支出,成本率,,支出
"3,394,118","43,449",5.08%,"3,397,600","45,638"
"1,015,311","7,790",3.04%,"983,070","7,672"
"245,804",956,1.54%,"250,545",973
"346,661","2,467",2.82%,"320,150","2,205"
"5,001,894","54,662",4.34%,"4,951,365","56,488"
"3,462,033","19,131",2.19%,"3,459,421","19,219"
"663,328","4,411",2.64%,"660,340","4,271"
"753,066","4,484",2.36%,"713,593","4,277"
"4,878,427","28,026",2.28%,"4,833,354","27,767"
,"26,636",,,"28,721"
,,2.89%,,
,,2.06%,,
,,2.11%,,
