项目,风险披露(续),列3,列4,列5,列6,列7,列8
财务报表附注(续),,,,,,,
3.,市场风险(续),,,,,,
3.2,利率风险(续),,,,,,
,于2022年12月31日，本,行的资产负债,表按合同重定价,日或到期日,两者较早者分,析如下：,
,,,,本行,,,
,,,,2022年12月3,1日,,
,,,3个月,,,,
,,3个月内,至1年,1至5年,5年以上,不计息,合计
,资产：,,,,,,
,现金及存放中央银行,,,,,,
,款项,"274,300",-,-,-,"10,977","285,277"
,贵金属,-,-,-,-,"16,555","16,555"
,应收同业和其他金融,,,,,,
,机构款项(1),"197,698","74,259",-,-,"1,144","273,101"
,交易性金融资产及衍,,,,,,
,生金融资产,"13,528","65,205","134,495","40,239","216,878","470,345"
,发放贷款和垫款,"1,275,523","1,501,004","432,010","22,705","11,016 3,","242,258"
,债权投资,"23,192","67,876","332,584","300,520","7,581","731,753"
,其他债权投资,"13,523","49,035","92,207","13,029","1,574","169,368"
,其他权益工具投资,-,-,-,-,"6,380","6,380"
,固定资产,-,-,-,-,"11,054","11,054"
,商誉,-,-,-,-,"7,568","7,568"
,使用权资产,-,-,-,-,"6,526","6,526"
,其他资产,-,-,-,-,"98,953","98,953"
,资产合计,"1,797,764","1,757,379","991,296","376,493","396,206 5,","319,138"
,负债：,,,,,,
,向中央银行借款,"114,988","75,131",-,-,"1,797","191,916"
,应付同业和其他金融,,,,,,
,机构款项(2),"451,011","15,757","6,360",-,"5,173","478,301"
,交易性金融负债及衍,,,,,,
,生金融负债,"62,494",-,-,-,"38,974","101,468"
,吸收存款,"1,956,403","579,921","770,391",-,"45,555 3,","352,270"
,已发行债务证券,"213,599","346,122","129,978",-,"2,376","692,075"
,租赁负债,-,-,-,-,"6,922","6,922"
,其他负债,-,-,-,-,"65,165","65,165"
,负债合计,"2,798,495","1,016,931","906,729",-,"165,962 4,","888,117"
,利率风险缺口,"(1,000,731)","740,448","84,567","376,493",不适用,不适用
,(1) 应收同业和其他,金融机构款项,包括存放同业,款项、拆出资,金及买入返售,金融资产。,
,(2) 应付同业和其他,金融机构款项,包括同业及其,他金融机构存,放款项、拆入,资金及卖出回,购金融
