项目,列2,2022年12月31日,列4
3.2.2资产负债表项目分析,,,
余额,占比,余额,占比
"3,417,463",61.2%,"3,340,177",62.8%
"3,407,509",61.0%,"3,329,161",62.6%
"9,954",0.2%,"11,016",0.2%
"(97,353)",(1.7%),"(97,919)",(1.9%)
"3,320,110",59.5%,"3,242,258",60.9%
"1,431,426",25.6%,"1,384,149",26.1%
"274,663",4.9%,"285,277",5.5%
"93,597",1.7%,"98,329",1.8%
"9,680",0.2%,"16,555",0.3%
"331,537",5.9%,"175,482",3.3%
335,0.0%,477,0.0%
"9,814",0.2%,"11,083",0.2%
"5,776",0.1%,"6,530",0.1%
"6,622",0.1%,"6,879",0.1%
"7,568",0.1%,"7,568",0.1%
"45,757",0.8%,"44,079",0.8%
"50,231",0.9%,"42,848",0.8%
"5,587,116",100.0%,"5,321,514",100.0%
