项目,2023年12月31日,列3,2022年12月31日,列5,"本年末比上
年末增减"
,余额,占比,余额,占比,
吸收存款,"3,458,287",67.6%,"3,352,266",68.6%,3.2%
其中：吸收存款本金,"3,407,295",66.6%,"3,312,684",67.8%,2.9%
吸收存款应计利息,"50,992",1.0%,"39,582",0.8%,28.8%
向中央银行借款,"208,783",4.1%,"191,916",3.9%,8.8%
同业及其他金融机构存放款项,"467,791",9.2%,"407,278",8.3%,14.9%
拆入资金,"49,059",1.0%,"57,393",1.2%,(14.5%)
交易性金融负债,"31,614",0.6%,"64,943",1.3%,(51.3%)
衍生金融负债,"42,220",0.8%,"36,525",0.7%,15.6%
卖出回购金融资产款,"58,152",1.1%,"13,303",0.3%,337.1%
应付职工薪酬,"17,189",0.3%,"18,571",0.4%,(7.4%)
应交税费,"9,380",0.2%,"14,674",0.3%,(36.1%)
已发行债务证券,"728,328",14.2%,"692,075",14.2%,5.2%
租赁负债,"6,210",0.1%,"6,922",0.1%,(10.3%)
其他（注）,"37,775",0.8%,"30,968",0.7%,22.0%
负债总额,"5,114,788",100.0%,"4,886,834",100.0%,4.7%
