项目,"年年度报
吸收存款","告
按地区分布情况",列4
,项,2023年12月,（货币单位：人民币百万元）
东区,项,目,31日 2022年12月31日 本年末比上
,项,余额,占比 余额 占比 年末增减
,项,"994,482","29.2% 965,192 29.2% 3.0%"
南区,存款本金合,"1,270,352","37.2% 1,187,196 35.8% 7.0%"
西区,存款本金合,"265,600","7.8% 219,664 6.6% 20.9%"
北区,存款本金合,"756,662","22.2% 685,366 20.7% 10.4%"
总部,存款本金合,"83,502","2.5% 225,219 6.8% (62.9%)"
境外,存款本金合,"36,697","1.1% 30,047 0.9% 22.1%"
吸收,存款本金合,"计 3,407,295","100.0% 3,312,684 100.0% 2.9%"
（3,）股东权,益变动情况,
,2023年末,"，本集团股东权益4,723.28亿元，","较上年末增长8.7%。其中，未分配利润2,212.55亿"
元，,较上年末,增长18.8%，主要因本年实现净利,润及利润分配所致。
股本,项,目 年初数,（货币单位：人民币百万元）
其他,权益工具,"19,406",本年增加 本年减少 年末数
,其中：优先,"69,944","- - 19,406"
,永续,"股 19,953","- - 69,944"
,,"债 49,991","- - 19,953"
,,,"- - 49,991"
资本,公积,"80,816","- (55) 80,761"
其他,综合收益,"2,660","- (396) 2,264"
盈余,公积,"10,781","- - 10,781"
一般,风险准备,"64,768","3,149 - 67,917"
未分,配利润,"186,305","46,479 (11,529) 221,255"
股东,其中：建议,"分配的普通股股利 5,531","13,953 (5,531) 13,953"
,权益合计,"434,680","49,628 (11,980) 472,328"
（4,）公允价,值计量,
,2023年,末，本集团公允价值的计量方法及,采用公允价值计量的项目详见“第十章 财务报告”
中,的“八、,风险披露 4.金融工具的公允价值”,与“十二、其他重要事项 以公允价值计量的资产和
负,债”。,,
（5,）截至报,告期末的主要资产权利受限情况,
,□适用,√不适用,
