项目,列2,列3,列4,列5,列6
3.2.3 投资状况,,,,,
（1）投资组合与总体情况,,,,,
√适用 □不适用,,,,,
2023年12月3,（货,币单位,：人,民币百万,元）
项 目,1日 2022年12月3,1日,%,本年末比,上年
余额,占比 余额,占比,,末增,减
"衍生金融资产 40,521","2.8% 27,553",2.0,,,47.1%
"交易性金融资产 450,293","31.5% 446,133",32.2,%,,0.9%
"债权投资 772,467","54.0% 731,850",52.9,%,,5.5%
"其他债权投资 161,931","11.3% 172,233",12.4,%,,(6.0%)
"其他权益工具投资 6,214","0.4% 6,380",0.5,%,,(2.6%)
"投资类金融资产合计 1,431,426","100.0% 1,384,149",100.0,%,,3.4%
（2）报告期内获取的重大的股权投资情况,,,,,
□适用 √不适用,,,,,
（3）报告期内正在进行的重大的非股权投资情况,,,,,
□适用 √不适用,,,,,
（4）所持债券情况,,,,,
2023年末，本集团所持金融债券（政策性银,行债、各类普通金融债、次级,金融债,，不,含企业,债）
"账面价值为1,546.11亿元，其中前十大面值金融",债券的有关情况如下：,,,,
债券名称 面值,（货,币单位,：人,民币百万,元）
"2022年商业银行金融债 3,950",票面年利率(%) 到,期日,12-1,减值,准备
"2022年政策性银行债券 3,902",2.92,2025-,06-1,9,16.49
"2023年政策性银行债券 3,760",2.69,2027-,01-1,6,
"2023年政策性银行债券 3,186",2.59,2026-,09-1,1,
,2.69,2033-,,1,
"2023年商业银行金融债 3,140",2.77,2026-,04-1,3,12.61
"2020年政策性银行债券 3,032",3.23,2025-,01-1,0,8.46
"2020年政策性银行债券 2,902",3.34,2025-,07-1,4,
"2023年政策性银行债券 2,717",2.25,2026-,07-0,6,
"2022年商业银行金融债 2,190",3.02,2032-,10-2,6,
"2021年商业银行金融债 2,000",3.30,2024-,01-2,6,
