项目,本期金额,变动金额,变动比率,变动原因分析
贵金属,"9,680","(6,875)",(41.5%),主要是黄金租赁应收款减少
拆出资金,"220,707","86,786",64.8%,主要是拆出境内金融机构款项增加
衍生金融资产,"40,521","12,968",47.1%,主要是做市业务规模增加及市场波动影响
买入返售金融资产,"110,830","69,269",166.7%,主要是买入返售债券规模增加
交易性金融负债,"31,614","(33,329)",(51.3%),主要是债券借贷业务规模减少
卖出回购金融资产款,"58,152","44,849",337.1%,主要是卖出回购债券及票据规模增加
应交税费,"9,380","(5,294)",(36.1%),主要是2022年度企业所得税汇算清缴后，应交企
应交税费,"9,380","(5,294)",(36.1%),业所得税减少
预计负债,"13,498","3,768",38.7%,主要是财务担保合同预期信用损失增加
公允价值变动损益,(354),"(1,594)",(128.5%),主要是交易性金融工具公允价值变动损益减少
汇兑损益,662,"(3,886)",(85.4%),主要是汇率波动等因素影响
其他业务收入,"538,407",,310.7%,基期数小，上年为1.31亿元
其他资产减值损失,"77,112",,上年为负,基期数小，上年为-0.35亿元
