项目,2023年12月31日,列3,2022年12月31日,列5,"本年末比上年末
增减"
,余额,占比,余额,占比,
正常贷款,"3,311,741",97.19%,"3,233,708",97.13%,2.4%
关注贷款,"59,732",1.75%,"60,592",1.82%,(1.4%)
不良贷款,"36,036",1.06%,"34,861",1.05%,3.4%
其中：次级,"19,133",0.56%,"18,900",0.57%,1.2%
可疑,"10,763",0.32%,"9,703",0.29%,10.9%
损失,"6,140",0.18%,"6,258",0.19%,(1.9%)
发放贷款和垫款本金总额,"3,407,509",100.00%,"3,329,161",100.00%,2.4%
发放贷款和垫款减值准备,"(100,045)",,"(101,196)",,(1.1%)
其中：以摊余成本计量的发放贷,"(97,353)",,"(97,919)",,(0.6%)
款和垫款减值准备,"(97,353)",,"(97,919)",,(0.6%)
以公允价值计量且其变动,"(2,692)",,"(3,277)",,(17.9%)
计入其他综合收益的发,"(2,692)",,"(3,277)",,(17.9%)
放贷款和垫款减值准备,"(2,692)",,"(3,277)",,(17.9%)
不良贷款率,1.06%,,1.05%,,+0.01个百分点
逾期90天以上贷款偏离度（注1）,0.59,,0.69,,-0.10
逾期60天以上贷款偏离度（注2）,0.74,,0.83,,-0.09
拨备覆盖率,277.63%,,290.28%,,-12.65个百分点
逾期90天以上贷款拨备覆盖率,469.25%,,419.22%,,+50.03个百分点
逾期60天以上贷款拨备覆盖率,374.10%,,351.08%,,+23.02个百分点
拨贷比,2.94%,,3.04%,,-0.10个百分点
