项目,列2,2022年12月31日,列4,本年末比上年末
余额,占比,余额,占比,增减
"3,311,741",97.19%,"3,233,708",97.13%,2.4%
"59,732",1.75%,"60,592",1.82%,(1.4%)
"36,036",1.06%,"34,861",1.05%,3.4%
"19,133",0.56%,"18,900",0.57%,1.2%
"10,763",0.32%,"9,703",0.29%,10.9%
"6,140",0.18%,"6,258",0.19%,(1.9%)
"3,407,509",100.00%,"3,329,161",100.00%,2.4%
"(100,045)",,"(101,196)",,(1.1%)
"(97,353)",,"(97,919)",,(0.6%)
"(2,692)",,"(3,277)",,(17.9%)
1.06%,,1.05%,,+0.01个百分点
0.59,,0.69,,-0.10
0.74,,0.83,,-0.09
277.63%,,290.28%,,-12.65个百分点
469.25%,,419.22%,,+50.03个百分点
374.10%,,351.08%,,+23.02个百分点
2.94%,,3.04%,,-0.10个百分点
