项目,2023年12月31日,列3,列4,2022年12月31日,列6,列7,不良率增减
,余额,占比,不良率,余额,占比,不良率,
农牧业、渔业,"3,575",0.1%,-,"3,124",0.1%,-,-
采矿业,"17,821",0.5%,-,"18,899",0.6%,-,-
制造业,"200,675",5.9%,0.32%,"183,192",5.5%,0.53%,-0.21个百分点
能源业,"37,527",1.1%,-,"33,091",1.0%,2.83%,-2.83个百分点
交通运输、邮电业,"59,744",1.8%,0.08%,"51,441",1.5%,0.46%,-0.38个百分点
批发和零售业,"151,160",4.4%,1.17%,"124,729",3.7%,0.39%,+0.78个百分点
房地产业,"255,322",7.5%,0.86%,"283,484",8.5%,1.43%,-0.57个百分点
社会服务、科技、文化、卫生业,"246,241",7.2%,1.07%,"219,219",6.6%,0.46%,+0.61个百分点
建筑业,"52,760",1.5%,1.94%,"45,868",1.4%,0.10%,+1.84个百分点
个人贷款,"1,977,719",58.0%,1.37%,"2,047,390",61.5%,1.32%,+0.05个百分点
其他,"404,965",12.0%,0.16%,"318,724",9.6%,-,+0.16个百分点
发放贷款和垫款本金总额,"3,407,509",100.0%,1.06%,"3,329,161",100.0%,1.05%,+0.01个百分点
