项目,会议类型,"投资者参
与比例",召开日期,披露日期,会议决议
2022年年度股,年度股东,66.5211%,2023年5月31日,2023年6月1日,审议通过年度董事会工作报告、年度监事
东大会,大会,66.5211%,2023年5月31日,2023年6月1日,会工作报告、年度报告及摘要、年度财务
,,66.5211%,2023年5月31日,2023年6月1日,决算报告和财务预算报告、年度利润分配
,,66.5211%,2023年5月31日,2023年6月1日,方案、年度关联交易情况和关联交易管理
,,66.5211%,2023年5月31日,2023年6月1日,制度执行情况报告、聘请年度会计师事务
,,66.5211%,2023年5月31日,2023年6月1日,所、对外捐赠年度预算总额及对外捐赠授
,,66.5211%,2023年5月31日,2023年6月1日,权方案
2023年第一次,临时股东,64.5918%,2023年6月26日,2023年6月27日,审议通过选举冀光恒先生为执行董事的
临时股东大会,大会,64.5918%,2023年6月26日,2023年6月27日,议案
2023年第二次,临时股东,63.7205%,2023年11月14日,2023年11月15日,审议通过选举潘敏先生为独立董事的议
临时股东大会,大会,63.7205%,2023年11月14日,2023年11月15日,案
2023年第三次,临时股东,62.3970%,2023年12月26日,2023年12月27日,审议通过选举郭晓涛先生为非执行董事
临时股东大会,大会,62.3970%,2023年12月26日,2023年12月27日,的议案、资本管理规划（2024-2028年）、
,,62.3970%,2023年12月26日,2023年12月27日,存量资本性债券到期续作的议案
