项目,列2,任职,列4,列5,列6,期初持,"本期增
持股份","本期减
持股份",其他增,期末持,股份增减
姓名,职务,状态,性别,年龄,任期起止日期,股数,数量,数量,减变动,股数,变动的原
姓名,职务,状态,性别,年龄,任期起止日期,（股）,（股）,（股）,（股）,（股）,因
谢永林,董事长,现任,男,55,2016.12-换届,"26,700",-,-,-,"26,700",-
,,,,,董事任期：,,,,,,
冀光恒,董事、行长,现任,男,55,2023.11-换届,-,-,-,-,-,-
,,,,,行长任期：,,,,,,
,,,,,2023.11-,,,,,,
陈心颖,董事,现任,女,46,2014.1-换届,-,-,-,-,-,-
蔡方方,董事,现任,女,49,2014.1-换届,-,-,-,-,-,-
付欣,董事,现任,女,44,2024.3-换届,-,-,-,-,-,-
郭建,董事,现任,男,59,2017.2-换届,-,-,-,-,-,-
,,,,,董事任期：,,,,,,
,,,,,2020.1-换届,,,,,,
杨志群,董事、副行长,现任,男,53,副行长任期：,"50,000",-,-,-,"50,000",-
,,,,,2019.4-,,,,,,
