项目,"董事、
副行长、
首席财务官",现任,男,59,"董事任期：
2020.1-换届
副行长任期：
2020.6-
首席财务官任
期：2018.1-","26,000",-,-_2,-_3,"26,000_2",-_4
首席财务官,,,,,,,,,,,
杨军,独立董事,现任,男,65,2020.9-换届,-,-,-,-,-,-
艾春荣,独立董事,现任,男,61,2020.9-换届,-,-,-,-,-,-
吴志攀,独立董事,现任,男,67,2023.5-换届,-,-,-,-,-,-
刘峰,独立董事,现任,男,57,2023.4-换届,-,-,-,-,-,-
叶望春,监事长、,现任,男,68,2022.12-换届,,,,,,
叶望春,职工监事,现任,男,68,2022.12-换届,,,,,,
车国宝,股东监事,现任,男,74,2010.12-换届,-,-,-,-,-,-
王春汉,外部监事,现任,男,72,2020.9-换届,-,-,-,-,-,-
王松奇,外部监事,现任,男,71,2020.9-换届,-,-,-,-,-,-
韩小京,外部监事,现任,男,68,2020.9-换届,-,-,-,-,-,-
孙永桢,职工监事,现任,女,55,2018.10-换届,-,-,-,-,-,-
邓红,职工监事,现任,女,49,2022.11-换届,-,-,-,-,-,-
周强,董事会秘书,现任,男,51,2014.6-,-,-,-,-,-,-
胡跃飞,董事、行长,离任,男,61,董事任期：,"104,104",,,,"104,104",
胡跃飞,董事、行长,离任,男,61,2007.12-2023.11,"104,104",,,,"104,104",
胡跃飞,董事、行长,离任,男,61,行长任期：,"104,104",,,,"104,104",
胡跃飞,董事、行长,离任,男,61,2016.12-2023.11,"104,104",,,,"104,104",
郭世邦,董事、副行长,离任,男,58,董事任期：,,,,,,
郭世邦,董事、副行长,离任,男,58,2017.12-2023.12,,,,,,
郭世邦,董事、副行长,离任,男,58,副行长任期：,,,,,,
郭世邦,董事、副行长,离任,男,58,2019.4-2023.12,,,,,,
郭田勇,独立董事,离任,男,55,2016.8-2022.8,-,-,-,-,-,-
杨如生,独立董事,离任,男,55,2017.2-2022.11,-,-,-,-,-,-
蔡洪滨,独立董事,离任,男,56,2020.9-2022.11,-,-,-,-,-,-
鞠维萍,副行长,离任,男,60,2020.6-2024.1,"30,000",-,-,-,"30,000",-
合计,,,,,,"236,804",-,-,-,"236,804",-
