项目,艾春荣,香港中文大学（深圳）经管学院,教授、博士生导师
,,深圳高等金融研究院,副院长
,吴志攀,北京大学法学院,教授、博士生导师
,,北京蓝色光标数据科技股份有限公司,独立董事
,,中国信托业保障基金有限责任公司,独立董事
,刘峰,会,计系教授、博士生导师
,刘峰,厦门大学,会计发展中心主任
,,厦门国贸集团股份有限公司,独立董事
,,福建傲农生物科技集团股份有限公司,独立董事
,,瑞幸咖啡,独立董事
,王春汉,西藏银行股份有限公司,外部监事
,王松奇,中国社科院研究生院,教授、博士生导师
,,中国社科院金融所,研究员
,,中央财经大学,兼职博士生导师
,,第六届中国金融学会,常务理事
,韩小京,北京市通商律师事务所,合伙人
,,远洋集团控股有限公司,独立非执行董事
,,远东宏信有限公司,独立非执行董事
,,维太移动控股有限公司,独立非执行董事
,,时代天使科技有限公司,独立非执行董事
,,中国航空油料集团有限公司,外部董事
4.5.7 现,任及报告期内离,任董事、监事和高级管理人员近三年受证券监管机构处,罚的情况
□适,用 √不适用,级管理人员报酬情况,支付情况：本行高级
4.6 董,事、监事、高,高级管理人员报酬的决策程序、报酬确定依据以及实际,分别由董事会和监事
本行,董事、监事和,本行董事会会议审议通过。本行董事、监事的报酬方案,货币单位：人民币万元）
管理人员,的报酬方案由,股东大会审议通过。,
会审议通,过后提交本行,事和高级管理人员报酬情况：,
报告,期内董事、监,（,
,姓名,报告期内从本行结算,是否在公司关联方获
,姓名,职务 任职状态,取报酬
,姓名,的税前报酬总额,
谢,永林,董事长 现任 -,是
冀,光恒,董事、行长 现任 79.27,否
陈,心颖,董事 现任 -,是
