项目,议届次,召开日期,披露日期,会议决议
第十,二届董事会,2023年1月19日,2023年1月20日,审议通过2022年度消费者权益保护工作情况报告、
第,四次会议,2023年1月19日,2023年1月20日,与深圳平安综合金融服务有限公司关联交易、理财
,,2023年1月19日,2023年1月20日,产品销售重要策略、制度和程序
第十,二届董事会,2023年2月27日,2023年2月28日,审议通过预期信用损失法实施管理办法、2022年预
第,五次会议,2023年2月27日,2023年2月28日,期信用损失模型优化方案及投产前验证报告、修订
,,2023年2月27日,2023年2月28日,流动性风险管理办法、与平安国际融资租赁有限公
,,2023年2月27日,2023年2月28日,司关联交易、与陆金所控股有限公司关联交易、优
,,2023年2月27日,2023年2月28日,先股股息发放方案
第十,二届董事会,2023年3月8日,2023年3月9日,审议通过2022年年度报告及摘要、年度利润分配预
第,六次会议,2023年3月8日,2023年3月9日,案、年度财务决算报告和财务预算报告、聘请2023
,,2023年3月8日,2023年3月9日,年度会计师事务所、年度内部控制评价报告、2022
,,2023年3月8日,2023年3月9日,年业务连续性管理和重要信息系统突发事件应急管
,,2023年3月8日,2023年3月9日,理专项审计报告、授予经营管理层2023年核销及处
,,2023年3月8日,2023年3月9日,置不良资产业务权限、年度可持续发展报告、年度
,,2023年3月8日,2023年3月9日,董事会工作报告、年度独立董事述职报告、年度董
,,2023年3月8日,2023年3月9日,事履职评价报告、2023年消费者权益保护工作计划、
,,2023年3月8日,2023年3月9日,2022 年全面风险管理报告、2023 年风险偏好陈述
,,2023年3月8日,2023年3月9日,书、年度关联交易情况和关联交易管理制度执行情
,,2023年3月8日,2023年3月9日,况报告、高级管理人员薪酬事项
第十,二届董事会,2023年4月14日,2023年4月15日,审议通过独立董事履职安排
第,七次会议,2023年4月14日,2023年4月15日,审议通过独立董事履职安排
第十,二届董事会,2023年4月24日,2023年4月25日,审议通过 2023 年第一季度报告、2022 年度并表管
