项目,董事出席董事会及股东大会情况,列3,列4,列5,列6,列7
,董事出,席董事会及股,东大会情况,,,
,本报告期应,,,,是否连续两,
,现场出席次,以通讯方式,委托出席次,,,出席股东大
董,事姓名 参加董事会,,,缺席次数,次未亲自参,
,数,参加次数,数,,,会次数
,次数,,,,加会议,
谢,永林 16 7,90,,0,否,3
冀,光恒 4 2,20,,0,否,0
陈,心颖 16 6,91,,0,否,0
蔡,方方 16 7,90,,0,否,0
,郭建 16 7,90,,0,否,0
杨,志群 16 7,90,,0,否,0
项,有志 16 7,90,,0,否,4
,杨军 16 7,90,,0,否,0
艾,春荣 16 7,90,,0,否,3
吴,志攀 10 5,50,,0,否,0
,刘峰 12 6,60,,0,否,1
郭,田勇 16 7,90,,0,否,0
胡,跃飞 6 2,40,,0,否,1
郭,世邦 15 7,80,,0,否,1
蔡,洪滨 6 1,41,,0,否,0
杨,如生 4 1,30,,0,否,0
注：连,续两次未亲自出席董事会的说明：无。,,,,,
4.9.3,董事对公司有关事项提出异议的情,况,,,,
,□是 √否,,,,,
4.9.4,董事履行职责的其他说明,,,,,
,董事对本行有关建议是否被采纳,,,,,
,√是 □否,,,,,
2,023 年，本行董事在会议及闭会期间,提出多项意,见和建议，全,部得到本,行采纳或回应,。本行独
立董,事均按照相关法律、法规、规章及本,行章程的要,求，主动、有,效、独立地,履行职责，,对重大事
务进,行独立判断和决策，发表客观、公正,的审核意见,共计25项，维,护本行整,体利益，尤其,关注中小
股东,的合法权益不受损害，为本行公司治,理优化、董,事会建设和经,营管理进步,作出应有贡,献。
,,76,,,,
