项目,深圳市前海深港现代服务业合作区前湾一路 63 号,列3,列4,列5
深圳前海分行,,1,"42,586",53
,前海企业公馆28A栋,,,
惠州分行,惠州市惠城区麦地东路8号,7,"39,443",313
东莞分行,东莞市南城区鸿福路财富广场A座,10,"34,259",444
济南分行,济南市历下区经十路13777号,14,"33,770",574
珠海分行,珠海市香洲区红山路288号,11,"33,708",322
太原分行,太原市迎泽区并州北路6号,10,"32,908",335
合肥分行,合肥市蜀山区东流路西999号,10,"31,806",333
苏州分行,苏州市工业园区苏绣路89号,15,"31,740",350
温州分行,温州市鹿城区南汇街道市府路168号合众大厦裙楼,21,"29,986",493
昆明分行,昆明市滇池度假区滇池路1101号,18,"29,090",619
南昌分行,南昌市红谷滩新区商都路88号锐拓融和大厦,10,"28,829",329
石家庄分行,石家庄市新华区新华路78号,15,"28,765",433
无锡分行,无锡市太湖新城金融一街13-101,13,"26,877",232
中山分行,中山市东区兴政路1号,10,"25,271",272
贵阳分行,贵阳市观山湖区金诚街,7,"24,823",242
海口分行,海口市龙华区金龙路22号,10,"20,616",339
泉州分行,泉州市丰泽区滨海街109号连捷国际中心大厦,15,"18,583",322
沈阳分行,沈阳市和平区泰安路34号,11,"18,265",309
常州分行,常州市飞龙东路288号,11,"16,842",215
南宁分行,南宁市青秀区中新路9号九洲国际大厦B101-109,6,"14,956",223
义乌分行,义乌市城北路877号,9,"14,418",177
烟台分行,烟台市芝罘区环山路96号,9,"13,492",109
东营分行,东营市东营区府前大街55号,2,"11,244",46
绍兴分行,绍兴市解放大道711-713号,5,"10,704",91
潍坊分行,潍坊市奎文区民生东街1070号,4,"10,525",93
哈尔滨分行,哈尔滨市南岗区中山路193号,2,"9,292",135
台州分行,台州市经济开发区白云山南路181号,9,"9,264",114
长春分行,长春市南关区人民大街10606号9号楼1-5层,2,"8,376",139
三亚分行,三亚市吉阳区新风路128号,2,"7,860",38
南通分行,南通市崇川区跃龙路38号,4,"7,846",132
,乌鲁木齐市水磨沟区会展大道 1119 号晚报传媒大,,,
乌鲁木齐分行,,3,"7,708",136
,厦B座一层,,,
临沂分行,临沂市兰山区金雀山路10号,4,"7,425",79
,呼和浩特市如意开发区如意和大街 56 号乌兰财富,,,
呼和浩特分行,,5,"7,179",152
,中心A座1-3层,,,
泰州分行,泰州市海陵区青年南路39号,3,"6,837",88
漳州分行,漳州市芗城区南昌路延伸东段丽园广场,5,"6,572",75
银川分行,银川市兴庆区上海东路619号中环大厦1层,2,"6,449",110
