项目,年年度报,告,列4,列5
,本行2022,年度利润分配,方案以本行2022年,"12月31日的总股本19,405,918,198股为基数，向全"
体股,东每10股,派发现金股利,人民币2.85元（含税,），不送红股，不以公积金转增股本。本行于2023
年6,月7日发,布了《平安银行,股份有限公司202,2年年度权益分派实施公告》，本次权益分派股权登
记日,为2023年,6月13日，除,权除息日为2023年,6月14日。本行2022年度利润分配方案在报告期
内实,施完毕。,,,
是否,符合公司章,程的规定或股东大,现金分红政,策的专项说明
分红,标准和比例,是否明确和清晰：,会决议的要求：,是
,,,,是
相关,的决策程序,和机制是否完备：,有的作用：,是
独立,董事是否履,职尽责并发挥了应,求的机会，其合法权益,是
中小,股东是否有,充分表达意见和诉,条件及程序是否合规、,是否得到了充分保护： 是
现金,分红政策进,行调整或变更的，,,透明： 是
4.15.,2 近三年,普通股现金分红,情况表,（货币单位：人民币百万元）
分红,现,金分红金额 分,红年度归属于本 占,归属于本行股东的 以其他方式现金分 以其他方式现金
,年度,（含税）,行股东的净利润,净利润的比率 红的金额 分红的比例
20,23年,"13,953","46,455",30% 不适用 不适用
20,22年,"5,531","45,516",12% 不适用 不适用
20,21年,"4,425","36,336",12% 不适用 不适用
4.15.,3 本行报,告期内盈利且母,公司未分配利润为,正但未提出现金红利分配预案
,□适用,√不适用,,
4.15.,4 本报告,期利润分配及资,本公积金转增股本,预案
,√适用,□不适用,,
每10,股送红股,数（股）,,7.19
每10,股派息数,（元）（含税）,,"19,405,918,198"
每10,股转增数,（股）,,"13,952,855,184"
分配,预案的股本,基数（股）,,
现金,分红总额（,元）（含税）,,
可分,配利润（元,）,本次现,"221,241,043,270"
现金,分红占利润,分配总额的比例,金支出安排的，进行利,100%
公司,发展阶段属,成熟期且有重大资,利润分配或资本公积金,金分红情况
40%,。,,,润分配时，现金分红在本次利润分配中所占比例最低应达到
,,,,转增预案的详细情况说明
