项目,年年度报告,列3,列4,列5,列6,列7,列8
,,第一章,公司,简介,,,
1.1,公司基本情况,,,,,,
1.1.1,公司信息,,,,,,
股票,简称,平安银行,,股票代码,0000,01,
股票,上市证券交易所,深圳证券交易所,,,,,
公司,的中文名称,平安银行股份有,限公司,,,,
公司,的中文简称,平安银行,,,,,
公司,的外文名称 P,ing An Bank Co.,", Ltd.",,,,
公司,的外文名称缩写 P,AB,,,,,
公司,的法定代表人,谢永林,,,,,
注册,地址,中华人民共和国,广东省,深圳市罗湖区深,南东路5047,号,
,,本行于1987年1,2月22,日正式设立，,注册地址为中,华人民共,和国广
,,东省深圳市罗湖,区蔡屋,围新十坊1号,,,
公司,1,990年11月6日,，因,总行办公迁址，,本行注册地址,变更为,中华人
公司,注册地址历史变更情况,民共和国广东省,深圳市,宝安南路45号,湖北宝丰大厦,1-6楼,中华人
,1,998年4月24日,，因,总行办公迁址，,本行注册地址,变更为,中华人
,1,民共和国广东省,深圳市,罗湖区深南中路,178号,变更为,中华人
,2,002年4月27日,，因,总行办公大楼门,牌变更，本行,注册地,址变更
,,为中华人民共和,国广东,省深圳市罗湖区,深南东路50,47号,
注册,地址的邮政编码 5,18001,市深南,东路5047号,,,
办公,地址,中国广东省深圳,市深南,东路5047号,,,
办公,地址的邮政编码 5,中国广东省深圳,市福田,区益田路5023,号平安金融中,心B座,
办公,地址的邮政编码 5,18001、518033,市福田,区益田路5023,号平安金融中,心B座,
公司,网址 h,ttp://bank.pingan,.com,,,,
电子,信箱 P,AB_db@pingan.,com.cn,,,,
服务,热线 9,5511转3,,,,,
1.1.2,联系人和联系方式,,,,,,
,董事会,秘书,,,证券事务代表,,
姓名,周强,区益田路5023,号平,吕旭光,市福田区益,田路502,3号平
联系,中国广东省深圳市福田,区益田路5023,号平,中国广东省深圳,市福田区益,田路502,3号平
,地址,区益田路5023,号平,,市福田区益,田路502,3号平
电话,安金融中心B座平安,银行董事会办公,室,安金融中心B,座平安银行董,事会办公,室
电话,（0755）82080387,银行董事会办公,室,（0755）82080,387,事会办公,室
传真,（0755）82080386,,,（0755）82080,386,,
电子,信箱 PAB_db@pingan.com.c,n,,PAB_db@pinga,n.com.cn,,
