项目,列2,列3,列4
股东名称,持股比例 持有,有限售条件,质押或冻结情况
股东名称,股东性质 持股数量,股份数量,质押或冻结情况
股东名称,（%） 的,,质押或冻结情况
,,,股份状态 数量
中国平安保险（集团）股份有限公,"境内法人 49.56 9,618,540,236",,- -
司－集团本级－自有资金,"境内法人 49.56 9,618,540,236",,- -
中国平安人寿保险股份有限公司－,"境内法人 6.11 1,186,100,488",,- -
自有资金,"境内法人 6.11 1,186,100,488",,- -
香港中央结算有限公司,"境外法人 3.81 739,915,586",-,- -
中国平安人寿保险股份有限公司－,"境内法人 2.27 440,478,714",,- -
传统－普通保险产品,"境内法人 2.27 440,478,714",,- -
中国证券金融股份有限公司,"境内法人 2.21 429,232,688",-,- -
中国工商银行股份有限公司－华泰,"境内法人 0.37 71,708,438",,- -
柏瑞沪深 300交易型开放式指数证,"境内法人 0.37 71,708,438",,- -
券投资基金,"境内法人 0.37 71,708,438",,- -
深圳中电投资有限公司,"境内法人 0.32 62,523,366",-,- -
和谐健康保险股份有限公司－万能,"境内法人 0.30 58,894,176",,- -
产品,"境内法人 0.30 58,894,176",,- -
交通银行股份有限公司－易方达上,"境内法人 0.27 52,383,468",,- -
证50指数增强型证券投资基金,"境内法人 0.27 52,383,468",,- -
胡茂响,"自然人 0.27 51,630,000",-,- -
上述股东关联关系或一致行动的说,1、中国平安人寿保险股份有限公司为中国平安保险（集团）,股份有限公司,控股子公司和一致行动
明,人，“中国平安保险（集团）股份有限公司－集团本级－自有资,金”“中国平,安人寿保险股份有限公
,司－自有资金”与“中国平安人寿保险股份有限公司－传统－,普通保险产,品”具有关联关系。
,2、本行未知其他股东间的关联关系，也未知其是否属于一致,行动人。,
