项目,利润,"57,928","57,475","45,985",0.8%
利润,总额,"57,718","57,253","45,879",0.8%
归属,于本行股东的净利润,"46,455","45,516","36,336",2.1%
扣除,非经常性损益后归属于本行股东的净利润,"46,431","45,407","36,230",2.3%
经营,活动产生的现金流量净额,"92,461","134,572","(192,733)",(31.3%)
每股,比率（元/股）：,,,,
基本,/稀释每股收益,2.25,2.20,1.73,2.3%
扣除,非经常性损益后的基本/稀释每股收益,2.25,2.19,1.72,2.7%
每股,经营活动产生的现金流量净额,4.76,6.93,(9.93),(31.3%)
财务,比率（%）：,,,,
总资,产收益率,0.83,0.86,0.74,-0.03个百分点
平均,总资产收益率,0.85,0.89,0.77,-0.04个百分点
加权,平均净资产收益率,11.38,12.36,10.85,-0.98个百分点
加权,平均净资产收益率（扣除非经常性损益）,11.38,12.33,10.82,-0.95个百分点
：（,1）净资产收益率和每股收益相关指标根据《公开发行证,券的公,司信息披露编报规则第9,号——净资产,收益率和每股收
,益的计算及披露》（2010年修订）及《企业会计准则,第34号,——每股收益》计算。,本行于2016年,3月7日非公开
,发行200亿元非累积型优先股，于2019年12月和2,020年,2月分别发行了 200亿元,、300亿元无,固定期限资本债
,券（“永续债”），均分类为其他权益工具。在计算当,期“加,权平均净资产收益率”及,“每股收益”,时，“归属于本行
,股东的净利润”扣除了已发放的优先股股息8.74亿,元和永续,债利息19.75亿元。,,
（,2）根据中国人民银行办公厅印发的《黄金租借业务管理,暂行办,法》规定，本行与金融机,构间开展的黄,金租借业务，租
,出端由“贵金属”重分类至“拆出资金”，租入端由,“交易,性金融负债”重分类至“,拆入资金”，相,关指标均已同口
,径调整比较期数据。,,,,
,公司最近三个会计年度扣除非经常性损益前后,净利润,孰低者均为负值，且最,近一年审计,报告显示公司
续,经营能力存在不确定性的,,,,
,□是 √否,,,,
,扣除非经常损益前后的净利润孰低者为负值,,,,
,□是 √否,,,,
