项目,"3,407,",295,"3,312",",684","2,961,819",2.9%
其中：企业存款,"2,199,677",,"2,277",",714","2,191,454",(3.4%)
个人存款,"1,207,618",,"1,034",",970","770,365",16.7%
发放贷款和垫款本金总额,"3,407,509",,"3,329",",161","3,063,448",2.4%
其中：企业贷款,"1,429,790",,"1,281",",771","1,153,127",11.5%
一般企业贷款,"1,214,991",,"1,084",",224","998,474",12.1%
贴现,"214,799",,197,",547","154,653",8.7%
个人贷款,"1,977,719",,"2,047",",390","1,910,321",(3.4%)
：根据财政部《关于修订印发2018年度金融企,业财务,报表格式的通知,》（财,会〔2018〕36号,）的规定，基于实际,利率法计
提的利息计入金融工具账面余额中，于资产,负债表,日尚未收到或尚,未支,付的利息在“其,他资产”或“其他负,债”列示
除非特别说明，本报告提及的“发放贷款和,垫款”,“吸收存款”及,其明细,项目均为不含息,金额。,币百万元
非经常性损益项目及金额,,,,,（货币单位：人民,
√适用 □不适用,,,,,,
项 目 202,3年,202,2年,202,1年 本年同,比增减
非流动性资产处置净损益,,20,,"15,216",,(86.8%)
或有事项产生的损益,,(64),,(759),,上年为负
其他,,88,,"68,127",,29.4%
所得税影响,,(20),,"(3,628)",,(44.4%)
合计,,24,,"109,106",,(78.0%)
