项目,27.90,列3,27.45,列5,28.30,+0.45个百分点
3.3补充财务比率,,,,,,
信贷成本,1.85,,2.01,,2.08,-0.16个百分点
存贷差,3.23,,3.81,,4.05,-0.58个百分点
净利差,2.31,,2.67,,2.74,-0.36个百分点
净息差,2.38,,2.75,,2.79,-0.37个百分点
：信贷成本=贷款减值损失/平均发放贷,款和垫款余额；净利差=平均生,息,资产收益率-平均计,息负,债成本率,；净息差=利息
净收入/平均生息资产余额。,款和垫款余额；净利差=平均生,息,资产收益率-平均计,息负,债成本率,（单位：%
.4 补充监管指标,款和垫款余额；净利差=平均生,息,资产收益率-平均计,息负,债成本率,
.4.1 主要监管指标,款和垫款余额；净利差=平均生,息,资产收益率-平均计,息负,债成本率,
项 目,标准值 2023年12月,31,日 2022年12月,31日,202,1年12月31日
流动性比例（本外币）,≥25,68,.01,55.,19,55.57
流动性比例（人民币）,≥25,67,.17,54.,16,53.98
流动性比例（外币）,≥25,89,.76,79.,51,89.83
流动性匹配率,≥100,144,.66,140.,39,140.96
资本充足率,≥10.75（注2）,13,.43,13.,01,13.34
一级资本充足率,≥8.75（注2）,10,.90,10.,40,10.56
核心一级资本充足率,≥7.75（注2）,9,.22,8.,64,8.60
单一最大客户贷款占资本净额比率,≤10,2,.58,2.,74,2.25
最大十家客户贷款占资本净额比率,不适用,12,.77,13.,93,12.66
累计外汇敞口头寸占资本净额比率,≤20,4,.42,2.,28,1.32
正常类贷款迁徙率,不适用,2,.76,2.,70,2.37
关注类贷款迁徙率,不适用,41,.23,45.,54,36.09
次级类贷款迁徙率,不适用,80,.18,73.,89,56.33
可疑类贷款迁徙率,不适用,85,.89,77.,08,88.84
不良贷款率,≤5,1,.06,1.,05,1.02
拨备覆盖率,≥130（注3）,277,.63,290.,28,288.42
拨贷比,≥1.8（注3）,2,.94,3.,04,2.94
